Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3,Top of the 1st Cubs Batting Tied 0-0 Red Sox' Carl Mays facing 1-2-3
t1,0-0,0,---,,O,CHC,M. Flack,C. Mays,2%,52%,Groundout: 3B-1B
t1,0-0,1,---,,O,CHC,C. Hollocher,C. Mays,1%,53%,Groundout: 2B-1B
t1,0-0,2,---,,O,CHC,L. Mann,C. Mays,1%,54%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cubs 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Cubs 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Cubs 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cubs' Lefty Tyler facing 1-2-3
b1,0-0,0,---,,O,BOS,H. Hooper,L. Tyler,-2%,52%,Groundout: SS-1B
b1,0-0,1,---,,O,BOS,D. Shean,L. Tyler,-1%,51%,Strikeout
b1,0-0,2,---,,,BOS,A. Strunk,L. Tyler,1%,52%,Single (Fly Ball to Short LF-CF)
b1,0-0,2,1--,,O,BOS,G. Whiteman,L. Tyler,-2%,50%,Flyball: CF
