Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3
t1,0-0,0,---,3(0-2) CFS,O,BOS,J. Damon,M. Mussina,2%,52%,Strikeout Swinging
t1,0-0,1,---,3(1-1) CBX,O,BOS,M. Bellhorn,M. Mussina,2%,54%,Flyball: CF
t1,0-0,2,---,5(2-2) FBBSX,O,BOS,M. Ramirez,M. Mussina,1%,55%,Groundout: 1B-P
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 0.
Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
b1,0-0,0,---,3(0-2) CFX,O,NYY,D. Jeter,C. Schilling,-2%,53%,Flyball: RF
b1,0-0,1,---,6(3-2) BFFBBX,O,NYY,A. Rodriguez,C. Schilling,-2%,51%,Flyball: RF
b1,0-0,2,---,5(3-1) CBBBX,,NYY,G. Sheffield,C. Schilling,2%,53%,Double to LF (Line Drive)
b1,0-0,2,-2-,4(0-2) CCFX,R,NYY,H. Matsui,C. Schilling,10%,63%,Double to CF (Fly Ball to LF-CF); Sheffield Scores
b1,1-0,2,-2-,1(0-0) X,R,NYY,B. Williams,C. Schilling,8%,71%,Single to CF (Ground Ball); Matsui Scores
b1,2-0,2,1--,2(1-0) BX,O,NYY,J. Posada,C. Schilling,-2%,69%,Groundout: 2B-1B
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 2.,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 2.,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Yankees 2.
