Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Yankees' Mike Mussina facing 1-2-3
t1,0-0,0,---,4(2-1) BBCX,,MIN,S. Stewart,M. Mussina,3%,53%,Single to 3B (Ground Ball)
t1,0-0,0,1--,4(1-2) 1M1FBC,O,MIN,J. Jones,M. Mussina,-3%,50%,Strikeout Looking
t1,0-0,1,1--,3(0-2) F1FX,O,MIN,T. Hunter,M. Mussina,-2%,48%,Groundout: 3B-1B; Stewart to 2B
t1,0-0,2,-2-,6(1-2) CBSFFX,O,MIN,J. Morneau,M. Mussina,-3%,45%,Groundout: 1B-P
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Twins 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 0 Yankees 0.
Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3
b1,0-0,0,---,1(0-0) X,O,NYY,D. Jeter,J. Santana,2%,47%,Flyball: CF
b1,0-0,1,---,1(0-0) X,,NYY,A. Rodriguez,J. Santana,-2%,45%,Single to 2B (Ground Ball)
b1,0-0,1,1--,4(3-0) BBBB,,NYY,G. Sheffield,J. Santana,-3%,41%,Walk; Rodriguez to 2B
b1,0-0,1,12-,9(3-2) SSB*BFB>F>FC,OO,NYY,B. Williams,J. Santana,9%,50%,Double Play: Strikeout Looking Rodriguez Caught Stealing 3B (C-3B)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Twins 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 0 Yankees 0.
