Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3
t1,0-0,0,---,3(0-2) CSX,,BOS,J. Damon,B. Colon,3%,53%,Single to RF (Fly Ball)
t1,0-0,0,1--,4(2-1) 11BFBX,,BOS,M. Bellhorn,B. Colon,5%,59%,Single to LF (Line Drive); Damon to 2B
t1,0-0,0,12-,5(1-2) FSBFS,O,BOS,M. Ramirez,B. Colon,-5%,54%,Strikeout Swinging
t1,0-0,1,12-,5(3-1) CBBBB,,BOS,D. Ortiz,B. Colon,6%,59%,Walk; Damon to 3B; Bellhorn to 2B
t1,0-0,1,123,1(0-0) X,O,BOS,T. Nixon,B. Colon,-7%,52%,Flyball: LF
t1,0-0,2,123,6(3-2) CFBBB>X,O,BOS,K. Millar,B. Colon,-7%,45%,Groundout: SS-1B
,,,,,,,,,0 runs 2 hits 0 errors 3 LOB. Red Sox 0 Angels 0.,0 runs 2 hits 0 errors 3 LOB. Red Sox 0 Angels 0.,0 runs 2 hits 0 errors 3 LOB. Red Sox 0 Angels 0.
Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
b1,0-0,0,---,2(0-1) CX,O,ANA,C. Figgins,P. Martinez,2%,47%,Groundout: 2B-1B
b1,0-0,1,---,5(1-2) BCSFX,O,ANA,D. Erstad,P. Martinez,2%,49%,Groundout: 1B-P
b1,0-0,2,---,6(3-2) SBBSBB,,ANA,V. Guerrero,P. Martinez,-1%,48%,Walk
b1,0-0,2,1--,3(0-2) CSS,O,ANA,G. Anderson,P. Martinez,2%,50%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Angels 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Angels 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Angels 0.
