Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roy Oswalt facing 1-2-3
t1,0-0,0,---,3(0-2) CSX,O,STL,T. Womack,R. Oswalt,2%,52%,Groundout: P-1B
t1,0-0,1,---,6(3-2) CBBFBB,,STL,L. Walker,R. Oswalt,-2%,50%,Walk
t1,0-0,1,1--,3(2-0) BBX,RR,STL,A. Pujols,R. Oswalt,-16%,33%,Home Run (Fly Ball); Walker Scores
t1,2-0,1,---,3(0-2) FSX,,STL,S. Rolen,R. Oswalt,-3%,30%,Double to LF (Line Drive)
t1,2-0,1,-2-,4(2-1) FBBX,O,STL,J. Edmonds,R. Oswalt,2%,33%,Groundout: 1B unassisted; Rolen to 3B
t1,2-0,2,--3,7(3-2) FFBB*BFB,,STL,E. Renteria,R. Oswalt,-1%,32%,Walk
t1,2-0,2,1-3,3(1-1) C1*BX,R,STL,J. Mabry,R. Oswalt,-8%,24%,Single to LF (Fly Ball); Rolen Scores; Renteria to 3B
t1,3-0,2,1-3,3(0-2) FCX,O,STL,Y. Molina,R. Oswalt,3%,27%,Groundout: 3B-2B/Forceout at 2B
,,,,,,,,,3 runs 3 hits 0 errors 2 LOB. Cardinals 3 Astros 0.,3 runs 3 hits 0 errors 2 LOB. Cardinals 3 Astros 0.,3 runs 3 hits 0 errors 2 LOB. Cardinals 3 Astros 0.
Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-3 Cardinals' Jason Marquis facing 1-2-3
b1,0-3,0,---,4(2-1) BCBX,O,HOU,C. Biggio,J. Marquis,-2%,25%,Groundout: SS-1B
b1,0-3,1,---,4(3-0) BBBB,,HOU,C. Beltran,J. Marquis,2%,27%,Walk
b1,0-3,1,1--,4(1-2) CFBX,R,HOU,J. Bagwell,J. Marquis,10%,37%,Double to CF (Line Drive); Beltran Scores
b1,1-3,1,-2-,5(3-1) FBBBB,,HOU,L. Berkman,J. Marquis,2%,40%,Walk
b1,1-3,1,12-,3(0-2) CSC,O,HOU,J. Kent,J. Marquis,-5%,35%,Strikeout Looking
b1,1-3,2,12-,3(2-0) BBX,O,HOU,M. Ensberg,J. Marquis,-4%,31%,Flyball: CF
,,,,,,,,,1 run 1 hit 0 errors 2 LOB. Cardinals 3 Astros 1.,1 run 1 hit 0 errors 2 LOB. Cardinals 3 Astros 1.,1 run 1 hit 0 errors 2 LOB. Cardinals 3 Astros 1.
