Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3,Top of the 1st Astros Batting Tied 0-0 Braves' Mike Hampton facing 1-2-3
t1,0-0,0,---,4(1-2) BCFX,O,HOU,C. Biggio,M. Hampton,2%,52%,Popfly: 2B
t1,0-0,1,---,1(0-0) X,O,HOU,C. Beltran,M. Hampton,2%,54%,Groundout: 3B-1B
t1,0-0,2,---,6(3-2) BSBBSX,R,HOU,J. Bagwell,M. Hampton,-10%,44%,Home Run (Fly Ball)
t1,1-0,2,---,3(2-0) BBX,O,HOU,L. Berkman,M. Hampton,1%,45%,Popfly: 2B
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Astros 1 Braves 0.,1 run 1 hit 0 errors 0 LOB. Astros 1 Braves 0.,1 run 1 hit 0 errors 0 LOB. Astros 1 Braves 0.
Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Astros' Roy Oswalt facing 1-2-3
b1,0-1,0,---,5(2-2) BCBFX,,ATL,R. Furcal,R. Oswalt,4%,49%,Single to CF (Line Drive)
b1,0-1,0,1--,3(1-1) BC>X,O,ATL,M. Giles,R. Oswalt,-2%,47%,Groundout: 3B-1B; Furcal to 2B
b1,0-1,1,-2-,5(2-2) SBFBC,O,ATL,J. Drew,R. Oswalt,-4%,43%,Strikeout Looking
b1,0-1,2,-2-,3(2-0) *BBX,O,ATL,C. Jones,R. Oswalt,-3%,40%,Groundout: 2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.
Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7,Top of the 2nd Astros Batting Ahead 1-0 Braves' Mike Hampton facing 5-6-7
t2,1-0,0,---,5(2-2) BBFCS,O,HOU,J. Kent,M. Hampton,2%,42%,Strikeout Swinging
t2,1-0,1,---,5(2-2) BBCSX,O,HOU,M. Ensberg,M. Hampton,2%,43%,Groundout: SS-1B
t2,1-0,2,---,6(2-2) BCBSFX,O,HOU,J. Vizcaino,M. Hampton,1%,44%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Astros 1 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Astros 1 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Astros 1 Braves 0.
Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7,Bottom of the 2nd Braves Batting Behind 0-1 Astros' Roy Oswalt facing 5-6-7
b2,0-1,0,---,2(0-1) CX,O,ATL,J. Estrada,R. Oswalt,-3%,42%,Popfly: SS
b2,0-1,1,---,2(0-1) SX,,ATL,A. LaRoche,R. Oswalt,3%,45%,Single to CF (Line Drive)
b2,0-1,1,1--,4(1-2) CF*BX,O,ATL,A. Jones,R. Oswalt,-3%,42%,Flyball: CF
b2,0-1,2,1--,3(0-2) FSX,O,ATL,C. Thomas,R. Oswalt,-3%,39%,Groundout: SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.,0 runs 1 hit 0 errors 1 LOB. Astros 1 Braves 0.
