Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Cardinals' Jason Marquis facing 1-2-3
t1,0-0,0,---,8(3-2) CFFBBBFX,O,LAD,C. Izturis,J. Marquis,2%,52%,Flyball: CF
t1,0-0,1,---,4(2-1) CBBX,R,LAD,J. Werth,J. Marquis,-10%,42%,Home Run (Fly Ball to LF-CF)
t1,1-0,1,---,3(1-1) BFX,O,LAD,S. Finley,J. Marquis,1%,44%,Flyball: RF
t1,1-0,2,---,5(2-2) BCBFX,,LAD,A. Beltre,J. Marquis,-1%,43%,Single to LF (Line Drive)
t1,1-0,2,1--,2(0-1) CX,O,LAD,S. Green,J. Marquis,2%,45%,Groundout: 1B unassisted
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Dodgers 1 Cardinals 0.,1 run 2 hits 0 errors 1 LOB. Dodgers 1 Cardinals 0.,1 run 2 hits 0 errors 1 LOB. Dodgers 1 Cardinals 0.
Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Dodgers' Jeff Weaver facing 1-2-3
b1,0-1,0,---,4(0-2) CFFX,O,STL,T. Womack,J. Weaver,-2%,42%,Foul Popfly: 3B (3B Foul)
b1,0-1,1,---,6(3-2) BCBBFX,O,STL,L. Walker,J. Weaver,-2%,41%,Lineout: LF
b1,0-1,2,---,5(3-1) BCBBB,,STL,A. Pujols,J. Weaver,1%,42%,Walk
b1,0-1,2,1--,7(3-2) F1BFFB1B>B,,STL,S. Rolen,J. Weaver,2%,44%,Walk; Pujols to 2B
b1,0-1,2,12-,3(0-2) FSS,O,STL,J. Edmonds,J. Weaver,-4%,40%,Strikeout Swinging
