Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3
t1,0-0,0,---,5(2-2) CCBBX,O,BOS,J. Damon,J. Suppan,-2%,48%,Lineout: RF
t1,0-0,1,---,6(2-2) BFBFFX,O,BOS,O. Cabrera,J. Suppan,-2%,46%,Flyball: CF
t1,0-0,2,---,5(2-2) BFBCX,R,BOS,M. Ramirez,J. Suppan,10%,56%,Home Run (Fly Ball)
t1,1-0,2,---,3(1-1) CBX,,BOS,D. Ortiz,J. Suppan,1%,57%,Single to RF (Line Drive)
t1,1-0,2,1--,5(2-2) CBF*BX,O,BOS,J. Varitek,J. Suppan,-2%,55%,Groundout: 2B-SS/Forceout at 2B
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.
Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3
b1,0-1,0,---,4(2-1) BBCX,O,STL,E. Renteria,P. Martinez,2%,58%,Groundout: 2B-1B
b1,0-1,1,---,5(3-1) SBBBB,,STL,L. Walker,P. Martinez,-3%,55%,Walk
b1,0-1,1,1--,4(1-2) CCB1X,,STL,A. Pujols,P. Martinez,-4%,51%,Single to 3B (Ground Ball); Walker to 2B
b1,0-1,1,12-,5(3-1) BCBBB,,STL,S. Rolen,P. Martinez,-6%,45%,Walk; Walker to 3B; Pujols to 2B
b1,0-1,1,123,5(2-2) BFS*BX,OO,STL,J. Edmonds,P. Martinez,15%,60%,Fly Ball Double Play: LF; Walker out at Hm/LF-C
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Cardinals 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Cardinals 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Cardinals 0.
Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 6-7-8
t2,1-0,0,---,2(1-0) BX,O,BOS,B. Mueller,J. Suppan,-2%,58%,Flyball: CF
t2,1-0,1,---,2(0-1) CX,O,BOS,T. Nixon,J. Suppan,-2%,57%,Popfly: SS
t2,1-0,2,---,8(3-2) CBFBFBFS,O,BOS,M. Bellhorn,J. Suppan,-1%,56%,Strikeout Swinging
