Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Abe Alvarez facing 1-2-3
t1,0-0,0,---,8(3-2) BBBCCFFB,,BAL,B. Roberts,A. Alvarez,3%,53%,Walk
t1,0-0,0,1--,5(2-2) FFBBS,O,BAL,D. Newhan,A. Alvarez,-3%,50%,Strikeout Swinging
t1,0-0,1,1--,3(1-1) BC>B,,BAL,M. Mora,A. Alvarez,1%,51%,Roberts Steals 2B
t1,0-0,1,-2-,5(2-2) BC>B.FX,R,BAL,M. Mora,A. Alvarez,9%,60%,Double to RF (Fly Ball to Deep CF-RF); Roberts Scores
t1,1-0,1,-2-,5(2-2) BBFCX,RR,BAL,M. Tejada,A. Alvarez,13%,73%,Home Run (Fly Ball); Mora Scores
t1,3-0,1,---,4(1-2) CCBX,O,BAL,J. Lopez,A. Alvarez,-1%,72%,Groundout: 2B-1B
t1,3-0,2,---,2(1-0) BX,O,BAL,R. Palmeiro,A. Alvarez,-1%,71%,Groundout: SS-1B
,,,,,,,,,3 runs 2 hits 0 errors 0 LOB. Orioles 3 Red Sox 0.,3 runs 2 hits 0 errors 0 LOB. Orioles 3 Red Sox 0.,3 runs 2 hits 0 errors 0 LOB. Orioles 3 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-3 Orioles' Rodrigo Lopez facing 1-2-3
b1,0-3,0,---,4(1-2) CCBX,O,BOS,M. Bellhorn,R. Lopez,2%,73%,Groundout: 2B-1B
b1,0-3,1,---,1(0-0) X,O,BOS,B. Mueller,R. Lopez,2%,75%,Flyball: CF
b1,0-3,2,---,4(1-2) CCBX,,BOS,D. Ortiz,R. Lopez,-2%,73%,Triple to CF (Fly Ball to Deep CF)
b1,0-3,2,--3,3(0-2) FCX,O,BOS,M. Ramirez,R. Lopez,3%,76%,Groundout: 2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Orioles 3 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Orioles 3 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Orioles 3 Red Sox 0.
