Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
t1,0-0,0,---,3(0-2) CCX,,BAL,B. Roberts,T. Wakefield,-3%,47%,Single to LF (Ground Ball)
t1,0-0,0,1--,4(1-2) CCB11X,,BAL,D. Newhan,T. Wakefield,-8%,39%,Single to RF (Ground Ball); Roberts to 3B
t1,0-0,0,1-3,3(2-0) BBX,OO,BAL,M. Mora,T. Wakefield,14%,53%,Fly Ball Double Play: LF; Roberts out at Hm/LF-C
t1,0-0,2,1--,3(0-2) CFB,,BAL,M. Tejada,T. Wakefield,-1%,52%,Passed Ball; Newhan to 2B
t1,0-0,2,-2-,4(1-2) CFB.X,O,BAL,M. Tejada,T. Wakefield,3%,55%,Foul Popfly: 1B (1B Foul)
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Orioles 0 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Orioles 0 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Orioles 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Dave Borkowski facing 1-2-3
b1,0-0,0,---,7(3-2) CBSBFBX,O,BOS,J. Damon,D. Borkowski,-2%,53%,Groundout: 2B-1B
b1,0-0,1,---,6(3-2) SBCBBB,,BOS,M. Bellhorn,D. Borkowski,2%,55%,Walk
b1,0-0,1,1--,,,BOS,D. Ortiz,D. Borkowski,1%,57%,Balk; Bellhorn to 2B
b1,0-0,1,-2-,1(0-0) N.B,,BOS,D. Ortiz,D. Borkowski,2%,59%,Wild Pitch; Bellhorn to 3B
b1,0-0,1,--3,6(3-2) N.B.CBFB*B,,BOS,D. Ortiz,D. Borkowski,2%,61%,Walk
b1,0-0,1,1-3,3(0-2) SSX,RO,BOS,M. Ramirez,D. Borkowski,1%,62%,Groundout: 3B-2B/Forceout at 2B; Bellhorn Scores
b1,1-0,2,1--,4(2-1) B1BCX,,BOS,T. Nixon,D. Borkowski,2%,63%,Single to RF (Line Drive); Ramirez to 2B
b1,1-0,2,12-,7(3-2) BCF*BFB>X,,BOS,K. Youkilis,D. Borkowski,2%,66%,Single to P (Ground Ball); Ramirez to 3B; Nixon to 2B
b1,1-0,2,123,4(1-2) BFFX,RRO,BOS,D. McCarty,D. Borkowski,10%,76%,Single to RF (Line Drive); Ramirez Scores; Nixon Scores; Youkilis out at 3B/RF-3B
,,,,,,,,,3 runs 3 hits 0 errors 1 LOB. Orioles 0 Red Sox 3.,3 runs 3 hits 0 errors 1 LOB. Orioles 0 Red Sox 3.,3 runs 3 hits 0 errors 1 LOB. Orioles 0 Red Sox 3.
