Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Bartolo Colon facing 1-2-3
t1,0-0,0,---,8(3-2) CBBFFFBB,,BOS,J. Damon,B. Colon,-3%,47%,Walk
t1,0-0,0,1--,2(1-0) 1111BX,O,BOS,M. Bellhorn,B. Colon,3%,50%,Flyball: CF
t1,0-0,1,1--,3(1-1) CBX,O,BOS,D. Ortiz,B. Colon,3%,53%,Flyball: RF (CF-RF)
t1,0-0,2,1--,6(2-2) BFCBFX,R,BOS,M. Ramirez,B. Colon,-10%,42%,Double to LF (Ground Ball thru Deep LF); Damon Scores
t1,1-0,2,-2-,5(1-2) TBCFH,,BOS,J. Varitek,B. Colon,-1%,41%,Hit By Pitch
t1,1-0,2,12-,3(0-2) CFT,O,BOS,B. Daubach,B. Colon,4%,45%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 2 LOB. Red Sox 1 Angels 0.,1 run 1 hit 0 errors 2 LOB. Red Sox 1 Angels 0.,1 run 1 hit 0 errors 2 LOB. Red Sox 1 Angels 0.
Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Angels Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-1,0,---,3(1-1) CBX,,ANA,D. Eckstein,B. Arroyo,4%,49%,Single to RF (Line Drive to CF-RF)
b1,0-1,0,1--,2(0-1) 1LX,O,ANA,C. Figgins,B. Arroyo,-2%,47%,Bunt Groundout: 1B unassisted/Sacrifice; Eckstein to 2B
b1,0-1,1,-2-,5(2-2) CSBBS,O,ANA,V. Guerrero,B. Arroyo,-4%,43%,Strikeout Swinging
b1,0-1,2,-2-,7(3-2) BBFBSFB,,ANA,J. Guillen,B. Arroyo,1%,44%,Walk
b1,0-1,2,12-,1(0-0) X,R,ANA,J. DaVanon,B. Arroyo,10%,55%,Single to RF (Line Drive); Eckstein Scores; Guillen to 3B
b1,1-1,2,1-3,4(1-2) 1CCBS,O,ANA,R. Mondesi,B. Arroyo,-5%,50%,Strikeout Swinging
,,,,,,,,,1 run 2 hits 0 errors 2 LOB. Red Sox 1 Angels 1.,1 run 2 hits 0 errors 2 LOB. Red Sox 1 Angels 1.,1 run 2 hits 0 errors 2 LOB. Red Sox 1 Angels 1.
Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9,Top of the 2nd Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 7-8-9
t2,1-1,0,---,9(2-2) BCCBFFFFX,R,BOS,K. Millar,B. Colon,-10%,40%,Home Run (Fly Ball to LF-CF)
