Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Eric DuBose facing 1-2-3
t1,0-0,0,---,2(0-1) CX,O,BOS,J. Damon,E. DuBose,-2%,48%,Groundout: P-1B
t1,0-0,1,---,1(0-0) X,,BOS,B. Mueller,E. DuBose,2%,50%,Single to CF (Line Drive to CF-RF)
t1,0-0,1,1--,6(2-2) 1FBBFFX,OO,BOS,E. Burks,E. DuBose,-5%,45%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Orioles 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Orioles 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Orioles 0.
Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
b1,0-0,0,---,6(3-2) CFBBBX,O,BAL,B. Roberts,C. Schilling,2%,47%,Flyball: LF (LF Foul)
b1,0-0,1,---,5(1-2) SFFBS,O,BAL,M. Mora,C. Schilling,2%,49%,Strikeout Swinging
b1,0-0,2,---,3(1-1) CBX,O,BAL,M. Tejada,C. Schilling,1%,50%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Orioles 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Orioles 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Orioles 0.
