Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 1-2-3
t1,0-0,0,---,4(2-1) CBBX,,BOS,J. Damon,J. Kennedy,-3%,47%,Single to RF (Ground Ball)
t1,0-0,0,1--,3(0-2) CFC,O,BOS,M. Bellhorn,J. Kennedy,3%,50%,Strikeout Looking
t1,0-0,1,1--,5(2-2) BF1CBX,OO,BOS,K. Millar,J. Kennedy,5%,55%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Rockies 0.
Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-0,0,---,4(1-2) CBCX,O,COL,A. Miles,B. Arroyo,-2%,53%,Groundout: 3B-1B
b1,0-0,1,---,2(0-1) CX,,COL,R. Clayton,B. Arroyo,2%,55%,Single to LF (Line Drive to LF-CF)
b1,0-0,1,1--,3(1-1) BCX,OO,COL,T. Helton,B. Arroyo,-5%,50%,Ground Ball Double Play: 1B-SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 1 hit 0 errors 0 LOB. Red Sox 0 Rockies 0.
Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Joe Kennedy facing 4-5-6
