Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Chris George facing 1-2-3
t1,0-0,0,---,5(1-2) CBFFX,,BOS,J. Damon,C. George,6%,56%,Double to RF (Fly Ball to Deep RF)
t1,0-0,0,-2-,1(0-0) X,O,BOS,K. Youkilis,C. George,-4%,52%,Bunt Popfly: P
t1,0-0,1,-2-,3(1-1) CBX,O,BOS,J. Varitek,C. George,-3%,49%,Groundout: 2B-1B; Damon to 3B
t1,0-0,2,--3,6(3-2) BFBBFB,,BOS,M. Ramirez,C. George,1%,50%,Walk
t1,0-0,2,1-3,2(0-1) FX,O,BOS,K. Millar,C. George,-5%,45%,Popfly: 2B (Short RF)
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Royals 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Royals 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Royals 0.
Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3
b1,0-0,0,---,4(1-2) CCBX,,KCR,T. Graffanino,D. Lowe,-6%,39%,Double to LF (Fly Ball to Deep LF-CF)
b1,0-0,0,-2-,5(1-2) LBLFX,O,KCR,C. Beltran,D. Lowe,2%,41%,Groundout: 2B-1B; Graffanino to 3B
