Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Kyle Lohse facing 1-2-3
t1,0-0,0,---,6(2-2) BFFBFX,,BOS,J. Damon,K. Lohse,6%,56%,Double to RF (Line Drive to Deep RF)
t1,0-0,0,-2-,2(1-0) BX,O,BOS,M. Bellhorn,K. Lohse,-2%,54%,Groundout: 2B-1B; Damon to 3B
t1,0-0,1,--3,6(3-2) BBFBFS,O,BOS,D. Ortiz,K. Lohse,-5%,49%,Strikeout Swinging
t1,0-0,2,--3,5(2-2) BSBFS,O,BOS,M. Ramirez,K. Lohse,-4%,45%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Twins 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Twins 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Twins 0.
Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-0,0,---,2(1-0) BX,O,MIN,S. Stewart,B. Arroyo,2%,47%,Flyball: LF (LF-CF)
b1,0-0,1,---,3(0-2) CFX,,MIN,C. Guzman,B. Arroyo,-2%,45%,Single to CF (Line Drive)
b1,0-0,1,1--,3(1-1) CBX,O,MIN,C. Koskie,B. Arroyo,3%,48%,Flyball: RF
