Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3
t1,0-0,0,---,2(1-0) BX,R,BOS,J. Damon,J. Vazquez,-9%,41%,Home Run (Fly Ball)
t1,1-0,0,---,3(2-0) BBX,O,BOS,M. Bellhorn,J. Vazquez,2%,43%,Popfly: 1B
t1,1-0,1,---,5(1-2) BSFFX,O,BOS,D. Ortiz,J. Vazquez,1%,44%,Lineout: CF
t1,1-0,2,---,6(3-2) BFBBFS,O,BOS,M. Ramirez,J. Vazquez,1%,45%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Yankees 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Yankees 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Yankees 0.
Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3
b1,0-1,0,---,3(0-2) CFX,,NYY,K. Lofton,D. Lowe,4%,49%,Reached on E6 (throw) (Ground Ball); Lofton to 1B
b1,0-1,0,1--,2(1-0) B>X,O,NYY,D. Jeter,D. Lowe,-2%,47%,Groundout: SS-1B; Lofton to 2B
b1,0-1,1,-2-,7(3-2) BBCBCFX,O,NYY,G. Sheffield,D. Lowe,-4%,43%,Groundout: C-1B (Front of Home)
b1,0-1,2,-2-,2(1-0) BX,O,NYY,A. Rodriguez,D. Lowe,-3%,40%,Flyball: RF
,,,,,,,,,0 runs 0 hits 1 error 1 LOB. Red Sox 1 Yankees 0.,0 runs 0 hits 1 error 1 LOB. Red Sox 1 Yankees 0.,0 runs 0 hits 1 error 1 LOB. Red Sox 1 Yankees 0.
