Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 1-2-3
t1,0-0,0,---,4(2-1) CBBX,O,BOS,J. Damon,B. Halsey,2%,52%,Popfly: SS (Short LF)
t1,0-0,1,---,3(1-1) CBX,O,BOS,M. Bellhorn,B. Halsey,2%,54%,Popfly: 1B (Short RF Line)
t1,0-0,2,---,6(2-2) BCCBFX,,BOS,D. Ortiz,B. Halsey,-2%,52%,Double to LF (Line Drive to Deep CF)
t1,0-0,2,-2-,4(1-2) FFBX,O,BOS,M. Ramirez,B. Halsey,3%,55%,Flyball: LF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Yankees 0.
Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
b1,0-0,0,---,3(1-1) BFX,O,NYY,K. Lofton,P. Martinez,-2%,53%,Flyball: CF
b1,0-0,1,---,3(0-2) SFS,O,NYY,D. Jeter,P. Martinez,-2%,51%,Strikeout Swinging
b1,0-0,2,---,5(2-2) BCBFH,,NYY,G. Sheffield,P. Martinez,1%,52%,Hit By Pitch
b1,0-0,2,1--,4(1-2) BCC1S,O,NYY,A. Rodriguez,P. Martinez,-2%,50%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 0.
Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Yankees' Brad Halsey facing 5-6-7
t2,0-0,0,---,5(2-2) BSSBS,O,BOS,J. Varitek,B. Halsey,2%,52%,Strikeout Swinging
t2,0-0,1,---,1(0-0) X,O,BOS,K. Millar,B. Halsey,2%,54%,Groundout: SS-1B
t2,0-0,2,---,6(3-2) BBBCFB,,BOS,D. McCarty,B. Halsey,-1%,53%,Walk
