Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Joel Pineiro facing 1-2-3
t1,0-0,0,---,4(2-1) CBBX,O,BOS,J. Damon,J. Pineiro,-2%,48%,Lineout: RF (CF-RF)
t1,0-0,1,---,4(1-2) BCCC,O,BOS,M. Bellhorn,J. Pineiro,-2%,46%,Strikeout Looking
t1,0-0,2,---,4(3-0) BBBB,,BOS,D. Ortiz,J. Pineiro,1%,47%,Walk
t1,0-0,2,1--,4(1-2) CBSX,O,BOS,M. Ramirez,J. Pineiro,-2%,45%,Flyball: LF (Deep LF)
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Mariners 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Mariners 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Mariners 0.
Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3
b1,0-0,0,---,8(3-2) BCCBBFFX,,SEA,I. Suzuki,D. Lowe,-3%,42%,Single to CF (Ground Ball)
b1,0-0,0,1--,3(2-0) BB>C,,SEA,R. Winn,D. Lowe,-2%,39%,Suzuki Steals 2B
b1,0-0,0,-2-,4(2-1) BB>C.X,O,SEA,R. Winn,D. Lowe,1%,41%,Groundout: 2B-1B; Suzuki to 3B
b1,0-0,1,--3,8(3-2) BBCSFFBS,O,SEA,B. Boone,D. Lowe,6%,46%,Strikeout Swinging
b1,0-0,2,--3,5(2-2) CBCBX,R,SEA,E. Martinez,D. Lowe,-8%,38%,Single to RF (Line Drive to CF-RF); Suzuki Scores
b1,1-0,2,1--,8(3-2) FBBCB>F>FB,,SEA,B. Jacobsen,D. Lowe,-2%,36%,Walk; Martinez to 2B
b1,1-0,2,12-,2(1-0) BX,O,SEA,S. Spiezio,D. Lowe,4%,40%,Groundout: 1B-P
,,,,,,,,,1 run 2 hits 0 errors 2 LOB. Red Sox 0 Mariners 1.,1 run 2 hits 0 errors 2 LOB. Red Sox 0 Mariners 1.,1 run 2 hits 0 errors 2 LOB. Red Sox 0 Mariners 1.
Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Mariners' Joel Pineiro facing 5-6-7
t2,0-1,0,---,1(0-0) X,,BOS,N. Garciaparra,J. Pineiro,4%,44%,Single to LF (Ground Ball)
t2,0-1,0,1--,5(3-1) BCBB1B,,BOS,T. Nixon,J. Pineiro,6%,50%,Walk; Garciaparra to 2B
t2,0-1,0,12-,3(0-2) CSC,O,BOS,D. Mirabelli,J. Pineiro,-6%,44%,Strikeout Looking
t2,0-1,1,12-,3(2-0) BBX,O,BOS,B. Mueller,J. Pineiro,-5%,39%,Popfly: 2B
t2,0-1,2,12-,3(0-2) FSC,O,BOS,D. McCarty,J. Pineiro,-5%,35%,Strikeout Looking
