Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 1-2-3
t1,0-0,0,---,5(2-2) BFFBX,O,BOS,J. Damon,J. Schmidt,2%,52%,Groundout: 3B-1B
t1,0-0,1,---,6(2-2) CBBFFS,O,BOS,M. Bellhorn,J. Schmidt,2%,54%,Strikeout Swinging
t1,0-0,2,---,6(3-2) BSBBCX,O,BOS,D. Ortiz,J. Schmidt,1%,55%,Flyball: RF (CF-RF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Giants 0.
Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-0,0,---,4(1-2) CBFX,O,SFG,R. Durham,B. Arroyo,-2%,53%,Groundout: SS-1B
b1,0-0,1,---,4(3-0) BBBB,,SFG,M. Tucker,B. Arroyo,2%,55%,Walk
b1,0-0,1,1--,4(1-2) FBCX,,SFG,M. Grissom,B. Arroyo,6%,61%,Single to RF (Line Drive); Tucker to 3B
b1,0-0,1,1-3,7(3-2) BCFBFBX,O,SFG,B. Bonds,B. Arroyo,-6%,55%,Popfly: 3B
b1,0-0,2,1-3,6(3-2) F*BSBB>B,,SFG,E. Alfonzo,B. Arroyo,2%,57%,Walk; Grissom to 2B
b1,0-0,2,123,1(0-0) X,O,SFG,A. Pierzynski,B. Arroyo,-7%,50%,Groundout: 1B-P
,,,,,,,,,0 runs 1 hit 0 errors 3 LOB. Red Sox 0 Giants 0.,0 runs 1 hit 0 errors 3 LOB. Red Sox 0 Giants 0.,0 runs 1 hit 0 errors 3 LOB. Red Sox 0 Giants 0.
Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 4-5-6
t2,0-0,0,---,5(1-2) FCFBS,O,BOS,N. Garciaparra,J. Schmidt,2%,52%,Strikeout Swinging
t2,0-0,1,---,5(1-2) CFBFS,O,BOS,T. Nixon,J. Schmidt,2%,54%,Strikeout Swinging
t2,0-0,2,---,5(3-1) CBBBB,,BOS,J. Varitek,J. Schmidt,-1%,53%,Walk
t2,0-0,2,1--,1(0-0) >X,O,BOS,K. Millar,J. Schmidt,2%,55%,Flyball: LF (Deep LF)
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Giants 0.
Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9,Bottom of the 2nd Giants Batting Tied 0-0 Red Sox' Bronson Arroyo facing 7-8-9
b2,0-0,0,---,11(3-2) CFBFBFBFFFS,O,SFG,D. Minor,B. Arroyo,-2%,53%,Strikeout Swinging
b2,0-0,1,---,1(0-0) X,,SFG,N. Perez,B. Arroyo,3%,55%,Reached on E3 (Ground Ball to Short 1B Line)
b2,0-0,1,1--,1(0-0) X,O,SFG,J. Schmidt,B. Arroyo,-2%,53%,Bunt Groundout: C-2B/Sacrifice; Perez to 2B
b2,0-0,2,-2-,3(1-1) BCH,,SFG,R. Durham,B. Arroyo,1%,54%,Hit By Pitch
b2,0-0,2,12-,5(2-2) BBCFX,O,SFG,M. Tucker,B. Arroyo,-4%,50%,Groundout: 1B unassisted
,,,,,,,,,0 runs 0 hits 1 error 2 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 1 error 2 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 1 error 2 LOB. Red Sox 0 Giants 0.
Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1,Top of the 3rd Red Sox Batting Tied 0-0 Giants' Jason Schmidt facing 8-9-1
t3,0-0,0,---,3(1-1) CBX,O,BOS,K. Youkilis,J. Schmidt,3%,53%,Flyball: RF
t3,0-0,1,---,5(2-2) BCSBS,O,BOS,B. Arroyo,J. Schmidt,2%,54%,Strikeout Swinging
t3,0-0,2,---,2(0-1) CX,O,BOS,J. Damon,J. Schmidt,1%,56%,Flyball: LF (LF-CF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Giants 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Giants 0.
