Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Victor Zambrano facing 1-2-3
t1,0-0,0,---,7(3-2) CBBFBFB,,BOS,J. Damon,V. Zambrano,-3%,47%,Walk
t1,0-0,0,1--,5(2-2) CBBSC,O,BOS,M. Bellhorn,V. Zambrano,3%,50%,Strikeout Looking
t1,0-0,1,1--,5(3-1) BBBCB,,BOS,D. Ortiz,V. Zambrano,-3%,46%,Walk; Damon to 2B
t1,0-0,1,12-,4(1-2) FFBC,O,BOS,M. Ramirez,V. Zambrano,4%,51%,Strikeout Looking
t1,0-0,2,12-,5(3-1) BC*BBB,,BOS,B. Daubach,V. Zambrano,-3%,48%,Walk; Damon to 3B; Ortiz to 2B
t1,0-0,2,123,5(2-2) BSCBC,O,BOS,J. Varitek,V. Zambrano,7%,55%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 3 LOB. Red Sox 0 Devil Rays 0.,0 runs 0 hits 0 errors 3 LOB. Red Sox 0 Devil Rays 0.,0 runs 0 hits 0 errors 3 LOB. Red Sox 0 Devil Rays 0.
Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3
b1,0-0,0,---,3(1-1) CBX,,TBD,C. Crawford,D. Lowe,3%,58%,Single to CF (Ground Ball)
