Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Roy Halladay facing 1-2-3
t1,0-0,0,---,6(1-2) CFFBFX,,BOS,J. Damon,R. Halladay,-3%,47%,Single to RF (Line Drive)
t1,0-0,0,1--,2(1-0) BX,O,BOS,M. Bellhorn,R. Halladay,3%,50%,Groundout: 1B-SS/Forceout at 2B
t1,0-0,1,1--,6(3-2) CBBBF>X,O,BOS,D. Ortiz,R. Halladay,2%,52%,Groundout: 1B unassisted; Bellhorn to 2B
t1,0-0,2,-2-,3(0-2) CCX,R,BOS,M. Ramirez,R. Halladay,-8%,44%,Single to CF (Ground Ball); Bellhorn Scores
t1,1-0,2,1--,2(0-1) FX,O,BOS,B. Daubach,R. Halladay,2%,46%,Groundout: 2B-SS/Forceout at 2B
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Blue Jays 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Blue Jays 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Blue Jays 0.
Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Blue Jays Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3
b1,0-1,0,---,1(0-0) X,O,TOR,O. Hudson,P. Martinez,-2%,43%,Groundout: P-1B
b1,0-1,1,---,3(0-2) CFX,O,TOR,F. Catalanotto,P. Martinez,-2%,42%,Flyball: LF
