Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
t1,0-0,0,---,6(2-2) BBCCFX,,KCR,A. Berroa,T. Wakefield,-3%,47%,Single to 3B (Ground Ball)
t1,0-0,0,1--,3(0-2) CCX,O,KCR,C. Beltran,T. Wakefield,2%,49%,Groundout: SS-1B; Berroa to 2B
t1,0-0,1,-2-,2(0-1) S>B,,KCR,M. Sweeney,T. Wakefield,-2%,46%,Berroa Steals 3B
t1,0-0,1,--3,3(1-1) S>B.X,RO,KCR,M. Sweeney,T. Wakefield,-1%,45%,Groundout: SS-1B; Berroa Scores
t1,1-0,2,---,4(1-2) CBFX,O,KCR,J. Gonzalez,T. Wakefield,1%,46%,Groundout: SS-1B
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Royals 1 Red Sox 0.,1 run 1 hit 0 errors 0 LOB. Royals 1 Red Sox 0.,1 run 1 hit 0 errors 0 LOB. Royals 1 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 1-2-3
b1,0-1,0,---,4(1-2) BCCX,O,BOS,J. Damon,J. Affeldt,-2%,44%,Flyball: CF
b1,0-1,1,---,2(0-1) CX,O,BOS,M. Bellhorn,J. Affeldt,-2%,42%,Groundout: SS-1B
b1,0-1,2,---,6(2-2) FFBBFX,O,BOS,D. Ortiz,J. Affeldt,-1%,41%,Flyball: LF (LF-CF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Royals 1 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Royals 1 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Royals 1 Red Sox 0.
Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7,Top of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 5-6-7
t2,1-0,0,---,3(0-2) FCX,O,KCR,M. Stairs,T. Wakefield,2%,43%,Groundout: 2B-1B
t2,1-0,1,---,3(2-0) BBX,O,KCR,J. Randa,T. Wakefield,2%,44%,Groundout: 3B-1B
t2,1-0,2,---,2(1-0) BX,O,KCR,K. Harvey,T. Wakefield,1%,46%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Royals 1 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Royals 1 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Royals 1 Red Sox 0.
Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6,Bottom of the 2nd Red Sox Batting Behind 0-1 Royals' Jeremy Affeldt facing 4-5-6
b2,0-1,0,---,6(2-2) CCBFBX,,BOS,M. Ramirez,J. Affeldt,4%,49%,Single to RF (Ground Ball)
b2,0-1,0,1--,1(0-0) B,,BOS,K. Millar,J. Affeldt,2%,52%,Wild Pitch; Ramirez to 2B
b2,0-1,0,-2-,4(3-0) B.B*BB,,BOS,K. Millar,J. Affeldt,3%,55%,Walk
b2,0-1,0,12-,2(0-1) CX,O,BOS,G. Kapler,J. Affeldt,-6%,50%,Flyball: CF
b2,0-1,1,12-,3(1-1) BCX,O,BOS,D. Mirabelli,J. Affeldt,-4%,45%,Flyball: RF (CF-RF); Ramirez to 3B
b2,0-1,2,1-3,1(0-0) X,O,BOS,B. Mueller,J. Affeldt,-5%,40%,Flyball: LF
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Royals 1 Red Sox 0.,0 runs 1 hit 0 errors 2 LOB. Royals 1 Red Sox 0.,0 runs 1 hit 0 errors 2 LOB. Royals 1 Red Sox 0.
Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1,Top of the 3rd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 8-9-1
t3,1-0,0,---,4(1-2) CBFX,O,KCR,B. Santiago,T. Wakefield,2%,42%,Groundout: P-1B
t3,1-0,1,---,1(0-0) X,,KCR,D. Relaford,T. Wakefield,-2%,40%,Single to CF (Line Drive)
t3,1-0,1,1--,2(1-0) BX,O,KCR,A. Berroa,T. Wakefield,3%,43%,Flyball: LF
t3,1-0,2,1--,1(0-0) X,,KCR,C. Beltran,T. Wakefield,-3%,40%,Single to RF (Ground Ball); Relaford to 3B
t3,1-0,2,1-3,2(1-1) *BC1,R,KCR,M. Sweeney,T. Wakefield,-7%,33%,Beltran Caught Stealing (PO) 2B safe on E4; Relaford Scores/No RBI/unER; Beltran stays at 1B
t3,2-0,2,1--,4(2-1) *BC1.B>B,,KCR,M. Sweeney,T. Wakefield,-1%,32%,Beltran Steals 2B
t3,2-0,2,-2-,5(3-1) *BC1.B>B.B,,KCR,M. Sweeney,T. Wakefield,-1%,31%,Walk
t3,2-0,2,12-,2(1-0) BX,,KCR,J. Gonzalez,T. Wakefield,-2%,29%,Single to LF (Ground Ball); Beltran to 3B; Sweeney to 2B
t3,2-0,2,123,1(0-0) X,O,KCR,M. Stairs,T. Wakefield,6%,35%,Groundout: SS unassisted/Forceout at 2B
,,,,,,,,,1 run 3 hits 1 error 3 LOB. Royals 2 Red Sox 0.,1 run 3 hits 1 error 3 LOB. Royals 2 Red Sox 0.,1 run 3 hits 1 error 3 LOB. Royals 2 Red Sox 0.
