Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
t1,0-0,0,---,5(2-2) FCBBX,,OAK,M. Kotsay,C. Schilling,-5%,45%,Double to LF (Fly Ball)
t1,0-0,0,-2-,7(2-2) CCFFBBS,O,OAK,E. Byrnes,C. Schilling,4%,49%,Strikeout Swinging
t1,0-0,1,-2-,4(1-2) FBFC,O,OAK,S. Hatteberg,C. Schilling,3%,52%,Strikeout Looking
t1,0-0,2,-2-,6(2-2) CSFB*BS,O,OAK,J. Dye,C. Schilling,3%,55%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Athletics 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Athletics 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Athletics 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Rich Harden facing 1-2-3
b1,0-0,0,---,2(0-1) CX,,BOS,J. Damon,R. Harden,3%,58%,Single to SS (Ground Ball)
b1,0-0,0,1--,3(2-0) BBX,OO,BOS,B. Mueller,R. Harden,-7%,51%,Ground Ball Double Play: 2B-SS-1B
b1,0-0,2,---,3(1-1) BCX,R,BOS,D. Ortiz,R. Harden,9%,60%,Home Run (Fly Ball)
b1,1-0,2,---,6(3-2) FBBFBX,O,BOS,M. Ramirez,R. Harden,-1%,59%,Groundout: 2B-1B
