Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
t1,0-0,0,---,1(0-0) X,O,SDP,S. Burroughs,P. Martinez,2%,52%,Groundout: 1B-P
t1,0-0,1,---,4(1-2) BCCX,,SDP,M. Loretta,P. Martinez,-2%,50%,Single to LF (Ground Ball)
t1,0-0,1,1--,5(2-2) BCFBC,O,SDP,B. Giles,P. Martinez,3%,53%,Strikeout Looking
t1,0-0,2,1--,4(1-2) CBCC,O,SDP,P. Nevin,P. Martinez,2%,55%,Strikeout Looking
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Padres 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Padres 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Padres 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Padres' David Wells facing 1-2-3
b1,0-0,0,---,2(0-1) CX,O,BOS,J. Damon,D. Wells,-2%,53%,Bunt Popfly: 1B
b1,0-0,1,---,3(2-0) BBX,,BOS,M. Bellhorn,D. Wells,2%,55%,Single to RF (Line Drive)
b1,0-0,1,1--,4(2-1) BBFX,,BOS,D. Ortiz,D. Wells,3%,59%,Single to RF (Ground Ball); Bellhorn to 2B
