Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 1st Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3
t1,0-0,0,---,,O,PIT,D. Schofield,L. Burdette,2%,52%,Popfly: 3B
t1,0-0,1,---,,O,PIT,B. Virdon,L. Burdette,1%,54%,Groundout: C-1B
t1,0-0,2,---,,O,PIT,S. Burgess,L. Burdette,1%,55%,Flyball: LF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 1st Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3
b1,0-0,0,---,,O,MLN,J. O'Brien,H. Haddix,-2%,52%,Groundout: SS-1B
b1,0-0,1,---,,O,MLN,E. Mathews,H. Haddix,-1%,51%,Lineout: 1B
b1,0-0,2,---,,O,MLN,H. Aaron,H. Haddix,-1%,50%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6,Top of the 2nd Pirates Batting Tied 0-0 Braves' Lew Burdette facing 4-5-6
t2,0-0,0,---,,,PIT,R. Nelson,L. Burdette,-4%,46%,Single to CF (CF-RF)
t2,0-0,0,1--,,OO,PIT,B. Skinner,L. Burdette,8%,54%,Ground Ball Double Play: 1B-SS-1B
t2,0-0,2,---,,O,PIT,B. Mazeroski,L. Burdette,1%,55%,Strikeout
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 1 hit 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 1 hit 0 errors 0 LOB. Pirates 0 Braves 0.
