Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3,Top of the 1st Royals Batting Tied 0-0 Yankees' Shane Rawley facing 1-2-3
t1,0-0,0,---,,O,KCR,W. Wilson,S. Rawley,-2%,48%,Foul Flyball: 1B
t1,0-0,1,---,,O,KCR,U. Washington,S. Rawley,-2%,46%,Strikeout Looking
t1,0-0,2,---,,,KCR,G. Brett,S. Rawley,1%,48%,Single to CF
t1,0-0,2,1--,,O,KCR,H. McRae,S. Rawley,-2%,45%,Groundout: 3B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Royals 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Royals 0 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Royals 0 Yankees 0.
Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3,Bottom of the 1st Yankees Batting Tied 0-0 Royals' Buddy Black facing 1-2-3
b1,0-0,0,---,,O,NYY,B. Campaneris,B. Black,2%,47%,Groundout: SS-1B
b1,0-0,1,---,,O,NYY,G. Nettles,B. Black,2%,49%,Foul Flyball: 3B
b1,0-0,2,---,,O,NYY,L. Piniella,B. Black,1%,50%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Royals 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Royals 0 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Royals 0 Yankees 0.
Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7,Top of the 2nd Royals Batting Tied 0-0 Yankees' Shane Rawley facing 5-6-7
t2,0-0,0,---,,O,KCR,A. Otis,S. Rawley,-2%,48%,Groundout: 1B unassisted
t2,0-0,1,---,,,KCR,J. Wathan,S. Rawley,3%,50%,Walk
t2,0-0,1,1--,,,KCR,L. Roberts,S. Rawley,7%,57%,Single to CF; Wathan to 3B
