Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3
t1,0-0,0,"______, ______, ______",1(0-0) X,O,NYY,D. Jeter,D. Lowe,2%,52%,Groundout: P-3B-1B
t1,0-0,1,"______, ______, ______",6(2-2) CFBBFS,O,NYY,A. Rodriguez,D. Lowe,2%,54%,Strikeout Swinging
t1,0-0,2,"______, ______, ______",2(0-1) CX,O,NYY,G. Sheffield,D. Lowe,1%,55%,Flyball: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Yankees 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Yankees' Orlando Hernandez facing 1-2-3
b1,0-0,0,"______, ______, ______",4(2-1) CBBX,O,BOS,J. Damon,O. Hernandez,-2%,53%,Groundout: 3B-1B
b1,0-0,1,"______, ______, ______",3(0-2) CFS,O,BOS,O. Cabrera,O. Hernandez,-2%,51%,Strikeout Swinging
b1,0-0,2,"______, ______, ______",5(3-1) BBBCB,,BOS,M. Ramirez,O. Hernandez,1%,52%,Walk
b1,0-0,2,"M. Ramirez, ______, ______",6(3-2) BBBCFB,,BOS,D. Ortiz,O. Hernandez,2%,54%,Walk; M. Ramirez to 2B
b1,0-0,2,"D. Ortiz, M. Ramirez, ______",4(1-2) BFFS,O,BOS,J. Varitek,O. Hernandez,-4%,50%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 2 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 2 LOB. Yankees 0 Red Sox 0.,0 runs 0 hits 0 errors 2 LOB. Yankees 0 Red Sox 0.
Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 2nd Yankees Batting Tied 0-0 Red Sox' Derek Lowe facing 4-5-6
t2,0-0,0,"______, ______, ______",3(1-1) FBX,,NYY,H. Matsui,D. Lowe,-6%,44%,Double to LF (Line Drive)
t2,0-0,0,"______, H. Matsui, ______",5(2-2) CBFBX,O,NYY,B. Williams,D. Lowe,2%,46%,Groundout: 2B-1B; H. Matsui to 3B
t2,0-0,1,"______, ______, H. Matsui",6(2-2) CFFBBX,O,NYY,J. Posada,D. Lowe,7%,53%,Fielder's Choice SS; H. Matsui out at Hm/SS-C
t2,0-0,2,"J. Posada, ______, ______",6(3-2) 1CBFBBS,O,NYY,R. Sierra,D. Lowe,2%,55%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Yankees 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Yankees 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Yankees 0 Red Sox 0.
