Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Yankees Batting Tied 0-0 Twins' Johan Santana facing 1-2-3
t1,0-0,0,"['', '', '']",4(0-2) CFFS,O,NYY,D. Jeter,J. Santana,-2%,48%,Strikeout Swinging
t1,0-0,1,"['', '', '']",5(3-1) BBBCB,,NYY,A. Rodriguez,J. Santana,2%,50%,Walk
t1,0-0,1,"['Rodriguez', '', '']",4(1-2) CBCX,O,NYY,G. Sheffield,J. Santana,-3%,47%,Foul Popfly: C (Behind Home)
t1,0-0,2,"['Rodriguez', '', '']",6(3-2) CBBBC>S,O,NYY,H. Matsui,J. Santana,-2%,45%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Yankees 0 Twins 0.,0 runs 0 hits 0 errors 1 LOB. Yankees 0 Twins 0.,0 runs 0 hits 0 errors 1 LOB. Yankees 0 Twins 0.
Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Bottom of the 1st Twins Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3
b1,0-0,0,"['', '', '']",2(0-1) CX,,MIN,S. Stewart,J. Vazquez,-3%,42%,Single to CF (Fly Ball)
b1,0-0,0,"['Stewart', '', '']",4(2-1) FBB1>X,,MIN,J. Jones,J. Vazquez,-8%,34%,Single to RF (Fly Ball); Stewart to 3B
b1,0-0,0,"['Jones', '', 'Stewart']",3(0-2) 1SSX,RO,MIN,T. Hunter,J. Vazquez,2%,36%,Flyball: RF/Sacrifice Fly; Stewart Scores
b1,1-0,1,"['Jones', '', '']",7(2-2) 1FBBSFF>T,OO,MIN,J. Morneau,J. Vazquez,5%,40%,Double Play: Strikeout Swinging Jones Caught Stealing 2B (C-SS)
,,,,,,,,,1 run 2 hits 0 errors 0 LOB. Yankees 0 Twins 1.,1 run 2 hits 0 errors 0 LOB. Yankees 0 Twins 1.,1 run 2 hits 0 errors 0 LOB. Yankees 0 Twins 1.
