Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3
t1,0-0,0,"______, ______, ______",5(1-2) CBFFX,O,STL,T. Womack,R. Clemens,2%,52%,Popfly: SS
t1,0-0,1,"______, ______, ______",1(0-0) X,R,STL,L. Walker,R. Clemens,-10%,43%,Home Run (Fly Ball to LF-CF)
t1,1-0,1,"______, ______, ______",6(3-2) BBCFBX,O,STL,A. Pujols,R. Clemens,1%,44%,Groundout: SS-1B
t1,1-0,2,"______, ______, ______",3(1-1) BCX,O,STL,S. Rolen,R. Clemens,1%,45%,Popfly: 2B
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Cardinals 1 Astros 0.,1 run 1 hit 0 errors 0 LOB. Cardinals 1 Astros 0.,1 run 1 hit 0 errors 0 LOB. Cardinals 1 Astros 0.
Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3,Bottom of the 1st Astros Batting Behind 0-1 Cardinals' Jeff Suppan facing 1-2-3
b1,0-1,0,"______, ______, ______",2(1-0) BX,,HOU,C. Biggio,J. Suppan,4%,49%,Single to LF (Ground Ball)
b1,0-1,0,"C. Biggio, ______, ______",5(3-1) CBBBB,,HOU,C. Beltran,J. Suppan,6%,54%,Walk; C. Biggio to 2B
b1,0-1,0,"C. Beltran, C. Biggio, ______",2(0-1) FX,OO,HOU,J. Bagwell,J. Suppan,-11%,43%,Ground Ball Double Play: 3B-1B; C. Beltran to 2B
