Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3,Top of the 1st Braves Batting Tied 0-0 Astros' Roger Clemens facing 1-2-3
t1,0-0,0,"______, ______, ______",3(0-2) CMX,O,ATL,R. Furcal,R. Clemens,-2%,48%,Foul Popfly: C (Behind Home)
t1,0-0,1,"______, ______, ______",5(2-2) BSBFX,O,ATL,J. Drew,R. Clemens,-2%,46%,Flyball: CF
t1,0-0,2,"______, ______, ______",2(1-0) BX,O,ATL,M. Giles,R. Clemens,-1%,45%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 0 Astros 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Astros 0.,0 runs 0 hits 0 errors 0 LOB. Braves 0 Astros 0.
Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3,Bottom of the 1st Astros Batting Tied 0-0 Braves' Russ Ortiz facing 1-2-3
b1,0-0,0,"______, ______, ______",2(0-1) CX,,HOU,C. Biggio,R. Ortiz,-6%,39%,Double to LF (Line Drive)
b1,0-0,0,"______, C. Biggio, ______",5(2-2) BFCBX,O,HOU,C. Beltran,R. Ortiz,4%,43%,Lineout: RF
b1,0-0,1,"______, C. Biggio, ______",5(1-2) *BFSF2X,O,HOU,J. Bagwell,R. Ortiz,3%,47%,Groundout: SS-1B
b1,0-0,2,"______, C. Biggio, ______",5(2-2) CBFBX,O,HOU,L. Berkman,R. Ortiz,3%,50%,Lineout: 2B
