Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,,,
Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3
t1,0-0,0,"['', '', '']",2(0-1) CX,,STL,T. Womack,J. Lima,-4%,46%,Single to RF (Line Drive)
t1,0-0,0,"['Womack', '', '']",5(1-2) C11BS1FC,O,STL,L. Walker,J. Lima,3%,50%,Strikeout Looking
t1,0-0,1,"['Womack', '', '']",2(1-0) B>B,,STL,A. Pujols,J. Lima,-2%,48%,Womack Steals 2B
t1,0-0,1,"['', 'Womack', '']",7(3-2) B>B.CFFBX,O,STL,A. Pujols,J. Lima,3%,51%,Groundout: SS-1B; Womack to 3B
t1,0-0,2,"['', '', 'Womack']",6(2-2) FBFFBS,O,STL,S. Rolen,J. Lima,4%,55%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Cardinals 0 Dodgers 0.,0 runs 1 hit 0 errors 1 LOB. Cardinals 0 Dodgers 0.,0 runs 1 hit 0 errors 1 LOB. Cardinals 0 Dodgers 0.
Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3,Bottom of the 1st Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 1-2-3
b1,0-0,0,"['', '', '']",3(0-2) CCX,O,LAD,C. Izturis,M. Morris,-2%,53%,Groundout: 3B-1B
b1,0-0,1,"['', '', '']",4(1-2) CFBS,O,LAD,J. Werth,M. Morris,-2%,51%,Strikeout Swinging
b1,0-0,2,"['', '', '']",7(2-2) BCSBFFX,O,LAD,S. Finley,M. Morris,-1%,50%,Popfly: SS
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 0.
Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7,Top of the 2nd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 5-6-7
t2,0-0,0,"['', '', '']",5(1-2) BCFFX,,STL,J. Edmonds,J. Lima,-4%,46%,Single to 2B (Ground Ball)
t2,0-0,0,"['Edmonds', '', '']",4(2-1) BBCX,O,STL,E. Renteria,J. Lima,4%,50%,Flyball: RF
t2,0-0,1,"['Edmonds', '', '']",3(1-1) BSX,OO,STL,R. Sanders,J. Lima,5%,55%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 0.
Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6,Bottom of the 2nd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 4-5-6
b2,0-0,0,"['', '', '']",7(2-2) CSBFBFS,O,LAD,A. Beltre,M. Morris,-2%,53%,Strikeout Swinging
b2,0-0,1,"['', '', '']",3(2-0) BBX,,LAD,S. Green,M. Morris,3%,55%,Single to CF (Ground Ball)
b2,0-0,1,"['Green', '', '']",3(0-2) CCX,OO,LAD,M. Bradley,M. Morris,-5%,50%,Ground Ball Double Play: P-SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 1 hit 0 errors 0 LOB. Cardinals 0 Dodgers 0.
Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1,Top of the 3rd Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 8-9-1
t3,0-0,0,"['', '', '']",2(0-1) CX,O,STL,M. Matheny,J. Lima,3%,53%,Flyball: LF
t3,0-0,1,"['', '', '']",1(0-0) X,O,STL,M. Morris,J. Lima,2%,54%,Groundout: 2B-1B
t3,0-0,2,"['', '', '']",2(0-1) CX,O,STL,T. Womack,J. Lima,1%,55%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 0.,0 runs 0 hits 0 errors 0 LOB. Cardinals 0 Dodgers 0.
Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9,Bottom of the 3rd Dodgers Batting Tied 0-0 Cardinals' Matt Morris facing 7-8-9
b3,0-0,0,"['', '', '']",4(1-2) CBSH,,LAD,A. Cora,M. Morris,4%,59%,Hit By Pitch
b3,0-0,0,"['Cora', '', '']",5(2-2) CBB>F1X,,LAD,B. Mayne,M. Morris,10%,69%,Single to CF (Line Drive); Cora to 3B
b3,0-0,0,"['Mayne', '', 'Cora']",2(1-0) BX,,LAD,J. Lima,M. Morris,4%,73%,Fielder's Choice P/Sacrifice Bunt; Mayne to 2B
b3,0-0,0,"['Lima', 'Mayne', 'Cora']",5(1-2) BFCFX,O,LAD,C. Izturis,M. Morris,-7%,66%,Flyball: LF
