Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
t1,0-0,0,"______, ______, ______",4(1-2) CSBS,O,STL,E. Renteria,T. Wakefield,2%,52%,Strikeout Swinging
t1,0-0,1,"______, ______, ______",9(3-2) CBBFFFBFX,,STL,L. Walker,T. Wakefield,-4%,49%,Double to RF (Line Drive)
t1,0-0,1,"______, L. Walker, ______",4(2-1) BBFX,O,STL,A. Pujols,T. Wakefield,3%,52%,Popfly: 2B
t1,0-0,2,"______, L. Walker, ______",1(0-0) X,O,STL,S. Rolen,T. Wakefield,3%,55%,Foul Popfly: 3B (3B Foul)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Cardinals 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Cardinals 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Cardinals 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Cardinals' Woody Williams facing 1-2-3
b1,0-0,0,"______, ______, ______",10(3-2) BCFBFBFFFX,,BOS,J. Damon,W. Williams,5%,61%,Double to LF (Line Drive)
b1,0-0,0,"______, J. Damon, ______",4(1-2) LCBH,,BOS,O. Cabrera,W. Williams,3%,64%,Hit By Pitch
b1,0-0,0,"O. Cabrera, J. Damon, ______",3(2-0) BBX,O,BOS,M. Ramirez,W. Williams,-3%,61%,Flyball: RF; J. Damon to 3B
b1,0-0,1,"O. Cabrera, ______, J. Damon",2(1-0) BX,RRR,BOS,D. Ortiz,W. Williams,17%,78%,Home Run (Fly Ball to RF Line); J. Damon Scores; O. Cabrera Scores
