Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Angels Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
t1,0-0,0,"______, ______, ______",6(3-2) CBCBBX,O,ANA,D. Eckstein,C. Schilling,2%,52%,Flyball: CF
t1,0-0,1,"______, ______, ______",4(2-1) CBBX,,ANA,D. Erstad,C. Schilling,-2%,50%,Single to CF (Fly Ball)
t1,0-0,1,"D. Erstad, ______, ______",2(0-1) FX,,ANA,V. Guerrero,C. Schilling,-3%,47%,Single to LF (Ground Ball); D. Erstad to 2B
t1,0-0,1,"V. Guerrero, D. Erstad, ______",1(0-0) X,O,ANA,G. Anderson,C. Schilling,4%,51%,Popfly: 3B
t1,0-0,2,"V. Guerrero, D. Erstad, ______",1(0-0) X,O,ANA,J. Guillen,C. Schilling,4%,55%,Groundout: SS-2B/Forceout at 2B
,,,,,,,,,0 runs 2 hits 0 errors 2 LOB. Angels 0 Red Sox 0.,0 runs 2 hits 0 errors 2 LOB. Angels 0 Red Sox 0.,0 runs 2 hits 0 errors 2 LOB. Angels 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Angels' John Lackey facing 1-2-3
b1,0-0,0,"______, ______, ______",3(0-2) CCX,,BOS,J. Damon,J. Lackey,3%,58%,Reached on E4 (Ground Ball to CF-RF)
b1,0-0,0,"J. Damon, ______, ______",5(3-1) BBBC1>B,,BOS,M. Bellhorn,J. Lackey,5%,64%,Walk; J. Damon to 2B
