Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Orioles Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
t1,0-0,0,"______, ______, ______",2(0-1) FX,O,BAL,B. Roberts,C. Schilling,2%,52%,Groundout: 1B-P
t1,0-0,1,"______, ______, ______",4(1-2) CFBX,O,BAL,D. Newhan,C. Schilling,2%,54%,Lineout: 3B
t1,0-0,2,"______, ______, ______",3(0-2) CSS,O,BAL,M. Mora,C. Schilling,1%,55%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Orioles 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Orioles 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Orioles 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3
b1,0-0,0,"______, ______, ______",8(3-2) BFBBCFFB,,BOS,J. Damon,R. Lopez,3%,58%,Walk
b1,0-0,0,"J. Damon, ______, ______",3(1-1) B1CX,OO,BOS,M. Bellhorn,R. Lopez,-7%,51%,Line Drive Double Play: SS; J. Damon out at 1B/SS-1B
b1,0-0,2,"______, ______, ______",4(1-2) BFCX,,BOS,M. Ramirez,R. Lopez,1%,52%,Single to RF (Line Drive)
b1,0-0,2,"M. Ramirez, ______, ______",4(3-0) BBBB,,BOS,D. Ortiz,R. Lopez,2%,54%,Walk; M. Ramirez to 2B
b1,0-0,2,"D. Ortiz, M. Ramirez, ______",2(0-1) CX,O,BOS,T. Nixon,R. Lopez,-4%,50%,Groundout: 1B unassisted
