Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Angels' Jarrod Washburn facing 1-2-3
t1,0-0,0,"['', '', '']",3(1-1) CBX,O,BOS,M. Bellhorn,J. Washburn,2%,52%,Groundout: 3B-1B
t1,0-0,1,"['', '', '']",4(2-1) CBBX,O,BOS,K. Youkilis,J. Washburn,2%,54%,Groundout: SS-1B
t1,0-0,2,"['', '', '']",3(1-1) SBX,O,BOS,D. Ortiz,J. Washburn,1%,55%,Flyball: RF (Deep CF-RF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Angels 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Angels 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Angels 0.
Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Angels Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
b1,0-0,0,"['', '', '']",3(1-1) BCX,,ANA,D. Eckstein,P. Martinez,3%,58%,Single to CF (Line Drive)
b1,0-0,0,"['Eckstein', '', '']",4(0-2) FFFC,O,ANA,C. Figgins,P. Martinez,-3%,55%,Strikeout Looking
b1,0-0,1,"['Eckstein', '', '']",6(1-2) SBFFFX,RR,ANA,V. Guerrero,P. Martinez,16%,71%,Home Run (Fly Ball); Eckstein Scores
b1,2-0,1,"['', '', '']",6(3-2) BFSBBB,,ANA,J. Guillen,P. Martinez,2%,73%,Walk
b1,2-0,1,"['Guillen', '', '']",4(2-1) 1BCBX,O,ANA,J. DaVanon,P. Martinez,-2%,71%,Flyball: CF
b1,2-0,2,"['Guillen', '', '']",3(1-1) CBX,O,ANA,R. Mondesi,P. Martinez,-2%,69%,Groundout: SS-2B/Forceout at 2B
,,,,,,,,,2 runs 2 hits 0 errors 1 LOB. Red Sox 0 Angels 2.,2 runs 2 hits 0 errors 1 LOB. Red Sox 0 Angels 2.,2 runs 2 hits 0 errors 1 LOB. Red Sox 0 Angels 2.
Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Angels' Jarrod Washburn facing 4-5-6
t2,0-2,0,"['', '', '']",4(1-2) BSFX,R,BOS,M. Ramirez,J. Washburn,-9%,60%,Home Run (Fly Ball)
t2,1-2,0,"['', '', '']",5(1-2) CSBFX,O,BOS,K. Millar,J. Washburn,2%,62%,Groundout: 3B-1B
t2,1-2,1,"['', '', '']",2(0-1) CX,O,BOS,J. Varitek,J. Washburn,2%,64%,Groundout: 3B-1B
t2,1-2,2,"['', '', '']",5(3-1) FBBBB,,BOS,D. McCarty,J. Washburn,-1%,63%,Walk
t2,1-2,2,"['McCarty', '', '']",6(2-2) FFB1BFX,O,BOS,G. Kapler,J. Washburn,2%,65%,Groundout: 2B-SS/Forceout at 2B
,,,,,,,,,1 run 1 hit 0 errors 1 LOB. Red Sox 1 Angels 2.,1 run 1 hit 0 errors 1 LOB. Red Sox 1 Angels 2.,1 run 1 hit 0 errors 1 LOB. Red Sox 1 Angels 2.
Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9,Bottom of the 2nd Angels Batting Ahead 2-1 Red Sox' Pedro Martinez facing 7-8-9
b2,2-1,0,"['', '', '']",2(0-1) FX,O,ANA,C. Kotchman,P. Martinez,-2%,63%,Groundout: P-SS-1B
b2,2-1,1,"['', '', '']",6(1-2) BFSFFX,O,ANA,B. Molina,P. Martinez,-1%,62%,Groundout: SS-1B
b2,2-1,2,"['', '', '']",2(1-0) BX,O,ANA,A. Kennedy,P. Martinez,-1%,61%,Flyball: RF (CF-RF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 2.
Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2,Top of the 3rd Red Sox Batting Behind 1-2 Angels' Jarrod Washburn facing 9-1-2
