Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Braves' Jaret Wright facing 1-2-3
t1,0-0,0,"['', '', '']",4(1-2) CFBC,O,BOS,J. Damon,J. Wright,2%,52%,Strikeout Looking
t1,0-0,1,"['', '', '']",3(1-1) CBX,O,BOS,M. Bellhorn,J. Wright,2%,54%,Groundout: 3B-1B
t1,0-0,2,"['', '', '']",10(3-2) FBSBFFFFBX,R,BOS,D. Ortiz,J. Wright,-10%,44%,Home Run (Fly Ball)
t1,1-0,2,"['', '', '']",7(2-2) CBCBFFC,O,BOS,M. Ramirez,J. Wright,1%,45%,Strikeout Looking
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Braves 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Braves 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Braves 0.
Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Braves Batting Behind 0-1 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-1,0,"['', '', '']",3(1-1) BCX,O,ATL,R. Furcal,B. Arroyo,-2%,43%,Popfly: SS
b1,0-1,1,"['', '', '']",4(1-2) BSSS,O,ATL,N. Green,B. Arroyo,-2%,41%,Strikeout Swinging
b1,0-1,2,"['', '', '']",8(3-2) BBCSFBFT,O,ATL,J. Drew,B. Arroyo,-1%,40%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Braves 0.
Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Braves' Jaret Wright facing 5-6-7
t2,1-0,0,"['', '', '']",1(0-0) X,O,BOS,N. Garciaparra,J. Wright,2%,42%,Flyball: CF (Deep CF-RF)
t2,1-0,1,"['', '', '']",4(2-1) CBBX,O,BOS,T. Nixon,J. Wright,2%,43%,Groundout: 2B-1B
t2,1-0,2,"['', '', '']",2(1-0) BX,,BOS,J. Varitek,J. Wright,-1%,42%,Single to CF (Line Drive)
t2,1-0,2,"['Varitek', '', '']",2(1-0) 1B>C,,BOS,B. Mueller,J. Wright,-1%,41%,Varitek Steals 2B
t2,1-0,2,"['', 'Varitek', '']",4(2-1) 1B>C.BX,R,BOS,B. Mueller,J. Wright,-10%,32%,Single to RF (Line Drive); Varitek Scores; Mueller to 2B/Adv on throw
t2,2-0,2,"['', 'Mueller', '']",1(0-0) X,O,BOS,B. Arroyo,J. Wright,3%,34%,Flyball: LF
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Red Sox 2 Braves 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 2 Braves 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 2 Braves 0.
Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6,Bottom of the 2nd Braves Batting Behind 0-2 Red Sox' Bronson Arroyo facing 4-5-6
b2,0-2,0,"['', '', '']",2(1-0) BX,R,ATL,C. Jones,B. Arroyo,10%,44%,Home Run (Fly Ball)
b2,1-2,0,"['', '', '']",4(1-2) CBCX,O,ATL,J. Estrada,B. Arroyo,-3%,42%,Lineout: 2B
b2,1-2,1,"['', '', '']",6(2-2) CBCFBX,O,ATL,A. LaRoche,B. Arroyo,-2%,40%,Groundout: 1B-P
b2,1-2,2,"['', '', '']",5(3-1) BSBBB,,ATL,A. Jones,B. Arroyo,1%,42%,Walk
b2,1-2,2,"['Jones', '', '']",3(1-1) BFH,,ATL,C. Thomas,B. Arroyo,2%,44%,Hit By Pitch; Jones to 2B
b2,1-2,2,"['Thomas', 'Jones', '']",1(0-0) X,O,ATL,J. Wright,B. Arroyo,-5%,39%,Flyball: RF
,,,,,,,,,1 run 1 hit 0 errors 2 LOB. Red Sox 2 Braves 1.,1 run 1 hit 0 errors 2 LOB. Red Sox 2 Braves 1.,1 run 1 hit 0 errors 2 LOB. Red Sox 2 Braves 1.
Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3,Top of the 3rd Red Sox Batting Ahead 2-1 Braves' Jaret Wright facing 1-2-3
t3,2-1,0,"['', '', '']",7(3-2) BBCFFBX,O,BOS,J. Damon,J. Wright,2%,41%,Flyball: RF (Deep RF)
t3,2-1,1,"['', '', '']",3(1-1) CBX,O,BOS,M. Bellhorn,J. Wright,2%,43%,Groundout: 1B unassisted
t3,2-1,2,"['', '', '']",4(1-2) FFBX,O,BOS,D. Ortiz,J. Wright,1%,44%,Lineout: RF (Deep RF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 1.
Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 3rd Braves Batting Behind 1-2 Red Sox' Bronson Arroyo facing 1-2-3
b3,1-2,0,"['', '', '']",1(0-0) X,O,ATL,R. Furcal,B. Arroyo,-3%,41%,Groundout: 1B unassisted
b3,1-2,1,"['', '', '']",5(2-2) CBBCS,O,ATL,N. Green,B. Arroyo,-2%,39%,Strikeout Swinging
b3,1-2,2,"['', '', '']",1(0-0) X,R,ATL,J. Drew,B. Arroyo,12%,51%,Home Run (Fly Ball)
b3,2-2,2,"['', '', '']",4(2-1) BCBX,O,ATL,C. Jones,B. Arroyo,-1%,50%,Groundout: 1B-P
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 2 Braves 2.,1 run 1 hit 0 errors 0 LOB. Red Sox 2 Braves 2.,1 run 1 hit 0 errors 0 LOB. Red Sox 2 Braves 2.
Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6,Top of the 4th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 4-5-6
t4,2-2,0,"['', '', '']",6(3-2) CBTBBB,,BOS,M. Ramirez,J. Wright,-4%,46%,Walk
t4,2-2,0,"['Ramirez', '', '']",2(1-0) BX,,BOS,N. Garciaparra,J. Wright,-6%,39%,Single to LF (Ground Ball); Ramirez to 2B
t4,2-2,0,"['Garciaparra', 'Ramirez', '']",2(0-1) FX,OO,BOS,T. Nixon,J. Wright,12%,52%,Ground Ball Double Play: 1B-SS-P; Ramirez to 3B
t4,2-2,2,"['', '', 'Ramirez']",4(1-2) TBCC,O,BOS,J. Varitek,J. Wright,5%,56%,Strikeout Looking
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 2 Braves 2.,0 runs 1 hit 0 errors 1 LOB. Red Sox 2 Braves 2.,0 runs 1 hit 0 errors 1 LOB. Red Sox 2 Braves 2.
Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7,Bottom of the 4th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 5-6-7
b4,2-2,0,"['', '', '']",1(0-0) X,O,ATL,J. Estrada,B. Arroyo,-3%,53%,Flyball: CF (Deep CF)
b4,2-2,1,"['', '', '']",6(2-2) BCCFBX,O,ATL,A. LaRoche,B. Arroyo,-2%,51%,Flyball: LF
b4,2-2,2,"['', '', '']",2(1-0) BX,O,ATL,A. Jones,B. Arroyo,-1%,50%,Lineout: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.
Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1,Top of the 5th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 8-9-1
t5,2-2,0,"['', '', '']",10(3-2) CCBBFFBFFX,O,BOS,B. Mueller,J. Wright,3%,53%,Foul Flyball: LF (LF Foul)
t5,2-2,1,"['', '', '']",3(0-2) CCS,O,BOS,B. Arroyo,J. Wright,2%,55%,Strikeout Swinging
t5,2-2,2,"['', '', '']",3(0-2) FCS,O,BOS,J. Damon,J. Wright,1%,57%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.
Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1,Bottom of the 5th Braves Batting Tied 2-2 Red Sox' Bronson Arroyo facing 8-9-1
b5,2-2,0,"['', '', '']",3(1-1) CBX,,ATL,C. Thomas,B. Arroyo,8%,65%,Double to CF (Fly Ball to Deep CF)
b5,2-2,0,"['', 'Thomas', '']",1(0-0) X,O,ATL,J. Wright,B. Arroyo,-8%,57%,Fielder's Choice C; Thomas out at 3B/C-3B
b5,2-2,1,"['Wright', '', '']",3(1-1) BCX,,ATL,R. Furcal,B. Arroyo,5%,61%,Single to CF (Line Drive); Wright to 2B
b5,2-2,1,"['Furcal', 'Wright', '']",4(1-2) SBFS,O,ATL,N. Green,B. Arroyo,-6%,56%,Strikeout Swinging
b5,2-2,2,"['Furcal', 'Wright', '']",5(3-1) BBBCB,,ATL,J. Drew,B. Arroyo,4%,59%,Walk; Wright to 3B; Furcal to 2B
b5,2-2,2,"['Drew', 'Furcal', 'Wright']",2(1-0) BX,O,ATL,C. Jones,B. Arroyo,-9%,50%,Flyball: LF (Deep LF)
,,,,,,,,,0 runs 2 hits 0 errors 3 LOB. Red Sox 2 Braves 2.,0 runs 2 hits 0 errors 3 LOB. Red Sox 2 Braves 2.,0 runs 2 hits 0 errors 3 LOB. Red Sox 2 Braves 2.
Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4,Top of the 6th Red Sox Batting Tied 2-2 Braves' Jaret Wright facing 2-3-4
t6,2-2,0,"['', '', '']",5(2-2) CFBBC,O,BOS,M. Bellhorn,J. Wright,3%,53%,Strikeout Looking
t6,2-2,1,"['', '', '']",7(2-2) FFBFFBX,O,BOS,D. Ortiz,J. Wright,2%,56%,Groundout: 1B unassisted
t6,2-2,2,"['', '', '']",8(3-2) BCCBBFFS,O,BOS,M. Ramirez,J. Wright,2%,58%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Braves 2.
