Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Rodrigo Lopez facing 1-2-3
t1,0-0,0,"______, ______, ______",2(1-0) BX,O,BOS,J. Damon,R. Lopez,-2%,48%,Popfly: 3B
t1,0-0,1,"______, ______, ______",3(0-2) CFC,O,BOS,M. Bellhorn,R. Lopez,-2%,46%,Strikeout Looking
t1,0-0,2,"______, ______, ______",5(1-2) CFFBX,,BOS,M. Ramirez,R. Lopez,1%,47%,Single to 3B (Ground Ball)
t1,0-0,2,"M. Ramirez, ______, ______",5(2-2) BFBFS,O,BOS,D. Ortiz,R. Lopez,-2%,45%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Orioles 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Orioles 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Orioles 0.
Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
b1,0-0,0,"______, ______, ______",4(1-2) BCFX,O,BAL,B. Roberts,T. Wakefield,2%,47%,Flyball: CF (Deep CF)
b1,0-0,1,"______, ______, ______",1(0-0) X,O,BAL,D. Newhan,T. Wakefield,2%,49%,Lineout: LF
b1,0-0,2,"______, ______, ______",3(2-0) BBX,O,BAL,M. Mora,T. Wakefield,1%,50%,Popfly: 2B
