Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Orioles' Sidney Ponson facing 1-2-3
t1,0-0,0,"______, ______, ______",4(1-2) CBSX,O,BOS,D. Roberts,S. Ponson,-2%,48%,Flyball: CF (Deep CF)
t1,0-0,1,"______, ______, ______",6(2-2) CBBFFS,O,BOS,M. Bellhorn,S. Ponson,-2%,46%,Strikeout Swinging
t1,0-0,2,"______, ______, ______",3(0-2) FFX,O,BOS,K. Millar,S. Ponson,-1%,45%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Orioles 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Orioles 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Orioles 0.
Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3,Bottom of the 1st Orioles Batting Tied 0-0 Red Sox' Pedro Astacio facing 1-2-3
b1,0-0,0,"______, ______, ______",3(1-1) BCX,,BAL,B. Roberts,P. Astacio,-3%,42%,Single to CF (Line Drive to LF-CF)
b1,0-0,0,"B. Roberts, ______, ______",1(0-0) X,O,BAL,D. Newhan,P. Astacio,3%,45%,Lineout: RF
b1,0-0,1,"B. Roberts, ______, ______",2(1-0) B>B,,BAL,M. Tejada,P. Astacio,-1%,43%,B. Roberts Steals 2B
b1,0-0,1,"______, B. Roberts, ______",4(2-1) B>B.CX,R,BAL,M. Tejada,P. Astacio,-8%,36%,Single to LF (Line Drive); B. Roberts Scores
b1,1-0,1,"M. Tejada, ______, ______",2(1-0) BX,,BAL,R. Palmeiro,P. Astacio,-5%,30%,Single to RF (Ground Ball); M. Tejada to 3B
b1,1-0,1,"R. Palmeiro, ______, M. Tejada",2(0-1) CX,RRR,BAL,J. Lopez,P. Astacio,-15%,15%,Home Run (Fly Ball); M. Tejada Scores; R. Palmeiro Scores
b1,4-0,1,"______, ______, ______",3(1-1) BCX,O,BAL,L. Bigbie,P. Astacio,1%,16%,Groundout: SS-1B
b1,4-0,2,"______, ______, ______",5(1-2) CCFBX,,BAL,L. Lopez,P. Astacio,-1%,16%,Single to RF (Ground Ball)
b1,4-0,2,"L. Lopez, ______, ______",4(1-2) CFBS,O,BAL,G. Gil,P. Astacio,1%,17%,Strikeout Swinging
,,,,,,,,,4 runs 5 hits 0 errors 1 LOB. Red Sox 0 Orioles 4.,4 runs 5 hits 0 errors 1 LOB. Red Sox 0 Orioles 4.,4 runs 5 hits 0 errors 1 LOB. Red Sox 0 Orioles 4.
