Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Indians' Jake Westbrook facing 1-2-3
t1,0-0,0,"______, ______, ______",4(1-2) CFBX,O,BOS,J. Damon,J. Westbrook,2%,52%,Groundout: 2B-1B
t1,0-0,1,"______, ______, ______",3(1-1) BCX,O,BOS,B. Mueller,J. Westbrook,2%,54%,Groundout: 1B unassisted
t1,0-0,2,"______, ______, ______",6(3-2) CBSBBC,O,BOS,D. Ortiz,J. Westbrook,1%,55%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Indians 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Indians 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Indians 0.
Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
b1,0-0,0,"______, ______, ______",2(1-0) BX,O,CLE,M. Lawton,C. Schilling,-2%,53%,Groundout: 2B-1B
b1,0-0,1,"______, ______, ______",1(0-0) X,O,CLE,O. Vizquel,C. Schilling,-2%,51%,Groundout: 1B unassisted
b1,0-0,2,"______, ______, ______",4(2-1) BBCX,,CLE,J. Gerut,C. Schilling,1%,52%,Single to CF (Line Drive)
b1,0-0,2,"J. Gerut, ______, ______",1(0-0) X,RR,CLE,V. Martinez,C. Schilling,18%,70%,Home Run (Fly Ball); J. Gerut Scores
b1,2-0,2,"______, ______, ______",6(2-2) BFSBFX,,CLE,T. Hafner,C. Schilling,1%,71%,Single to LF (Ground Ball)
b1,2-0,2,"T. Hafner, ______, ______",4(1-2) BCCS,O,CLE,R. Belliard,C. Schilling,-2%,69%,Strikeout Swinging
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Indians 2.,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Indians 2.,2 runs 3 hits 0 errors 1 LOB. Red Sox 0 Indians 2.
Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6,Top of the 2nd Red Sox Batting Behind 0-2 Indians' Jake Westbrook facing 4-5-6
t2,0-2,0,"______, ______, ______",3(1-1) BTX,O,BOS,M. Ramirez,J. Westbrook,2%,72%,Groundout: 1B unassisted
t2,0-2,1,"______, ______, ______",7(2-2) CFFFBBX,O,BOS,B. Daubach,J. Westbrook,2%,73%,Groundout: 2B-1B
t2,0-2,2,"______, ______, ______",5(3-1) BBBCX,,BOS,J. Varitek,J. Westbrook,-2%,71%,Double to LF (Line Drive)
t2,0-2,2,"______, J. Varitek, ______",2(0-1) CX,O,BOS,K. Millar,J. Westbrook,3%,75%,Groundout: 3B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Indians 2.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Indians 2.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Indians 2.
Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9,Bottom of the 2nd Indians Batting Ahead 2-0 Red Sox' Curt Schilling facing 7-8-9
