Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 1-2-3
t1,0-0,0,"______, ______, ______",4(1-2) CBSX,O,BOS,J. Damon,A. Cook,-2%,48%,Groundout: SS-1B
t1,0-0,1,"______, ______, ______",5(1-2) CCBFS,O,BOS,M. Bellhorn,A. Cook,-2%,46%,Strikeout Swinging
t1,0-0,2,"______, ______, ______",6(3-2) BBSBFS,O,BOS,D. Ortiz,A. Cook,-1%,45%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rockies 0.
Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Rockies Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3
b1,0-0,0,"______, ______, ______",2(0-1) CX,O,COL,A. Miles,D. Lowe,2%,47%,Groundout: 3B-1B
b1,0-0,1,"______, ______, ______",8(3-2) CFBBFFBX,O,COL,R. Clayton,D. Lowe,2%,49%,Groundout: P-1B
b1,0-0,2,"______, ______, ______",5(2-2) BBCFX,O,COL,T. Helton,D. Lowe,1%,50%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rockies 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rockies 0.
Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rockies' Aaron Cook facing 4-5-6
t2,0-0,0,"______, ______, ______",6(3-2) BFFBBS,O,BOS,M. Ramirez,A. Cook,-2%,48%,Strikeout Swinging
t2,0-0,1,"______, ______, ______",1(0-0) X,,BOS,N. Garciaparra,A. Cook,3%,50%,Single to LF (Line Drive)
t2,0-0,1,"N. Garciaparra, ______, ______",3(1-1) BF11X,,BOS,T. Nixon,A. Cook,4%,54%,Single to LF (Line Drive); N. Garciaparra to 2B
t2,0-0,1,"T. Nixon, N. Garciaparra, ______",5(3-1) BBBFB,,BOS,J. Varitek,A. Cook,6%,60%,Walk; N. Garciaparra to 3B; T. Nixon to 2B
t2,0-0,1,"J. Varitek, T. Nixon, N. Garciaparra",3(2-0) BBX,RR,BOS,P. Reese,A. Cook,15%,75%,Single to CF (Ground Ball); N. Garciaparra Scores; T. Nixon Scores; J. Varitek to 3B; P. Reese to 2B/Adv on throw
t2,2-0,1,"______, P. Reese, J. Varitek",1(0-0) X,O,BOS,D. Lowe,A. Cook,-6%,69%,Groundout: 2B-1B
t2,2-0,2,"______, P. Reese, J. Varitek",6(3-2) CBBBCX,O,BOS,J. Damon,A. Cook,-5%,64%,Groundout: 2B-1B
,,,,,,,,,2 runs 3 hits 0 errors 2 LOB. Red Sox 2 Rockies 0.,2 runs 3 hits 0 errors 2 LOB. Red Sox 2 Rockies 0.,2 runs 3 hits 0 errors 2 LOB. Red Sox 2 Rockies 0.
Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6,Bottom of the 2nd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 4-5-6
b2,0-2,0,"______, ______, ______",5(2-2) FBBSS,O,COL,V. Castilla,D. Lowe,3%,67%,Strikeout Swinging
b2,0-2,1,"______, ______, ______",2(0-1) CX,,COL,J. Burnitz,D. Lowe,-3%,64%,Single to LF (Line Drive)
b2,0-2,1,"J. Burnitz, ______, ______",2(1-0) BX,,COL,M. Holliday,D. Lowe,-6%,57%,Single to RF (Line Drive); J. Burnitz to 3B
b2,0-2,1,"M. Holliday, ______, J. Burnitz",2(1-0) BX,OO,COL,T. Greene,D. Lowe,12%,70%,Ground Ball Double Play: 3B-2B-1B
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Red Sox 2 Rockies 0.,0 runs 2 hits 0 errors 1 LOB. Red Sox 2 Rockies 0.,0 runs 2 hits 0 errors 1 LOB. Red Sox 2 Rockies 0.
Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 2-3-4
t3,2-0,0,"______, ______, ______",4(2-1) CBBX,O,BOS,M. Bellhorn,A. Cook,-2%,68%,Flyball: RF (CF-RF)
t3,2-0,1,"______, ______, ______",5(3-1) BBCBB,,BOS,D. Ortiz,A. Cook,2%,70%,Walk
t3,2-0,1,"D. Ortiz, ______, ______",3(0-2) FCX,OO,BOS,M. Ramirez,A. Cook,-5%,65%,Ground Ball Double Play: SS-2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Rockies 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Rockies 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 2 Rockies 0.
Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1,Bottom of the 3rd Rockies Batting Behind 0-2 Red Sox' Derek Lowe facing 8-9-1
b3,0-2,0,"______, ______, ______",2(0-1) FX,,COL,L. Gonzalez,D. Lowe,-4%,61%,Single to CF (Line Drive)
b3,0-2,0,"L. Gonzalez, ______, ______",4(1-2) LLB1M,O,COL,A. Cook,D. Lowe,4%,65%,Strikeout (missed bunt)
b3,0-2,1,"L. Gonzalez, ______, ______",2(0-1) 1M>X,O,COL,A. Miles,D. Lowe,3%,68%,Groundout: 2B-1B; L. Gonzalez to 2B
b3,0-2,2,"______, L. Gonzalez, ______",2(1-0) BX,O,COL,R. Clayton,D. Lowe,4%,71%,Groundout: 3B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 2 Rockies 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 2 Rockies 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 2 Rockies 0.
Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7,Top of the 4th Red Sox Batting Ahead 2-0 Rockies' Aaron Cook facing 5-6-7
t4,2-0,0,"______, ______, ______",1(0-0) X,O,BOS,N. Garciaparra,A. Cook,-2%,69%,Flyball: LF
t4,2-0,1,"______, ______, ______",3(0-2) CFX,,BOS,T. Nixon,A. Cook,3%,73%,Double to RF (Fly Ball to Deep CF-RF)
t4,2-0,1,"______, T. Nixon, ______",5(3-1) CBBBB,,BOS,J. Varitek,A. Cook,1%,74%,Walk
t4,2-0,1,"J. Varitek, T. Nixon, ______",6(3-2) BSBFBS,O,BOS,P. Reese,A. Cook,-4%,71%,Strikeout Swinging
t4,2-0,2,"J. Varitek, T. Nixon, ______",2(0-1) CB,,BOS,D. Lowe,A. Cook,1%,72%,Wild Pitch; T. Nixon to 3B; J. Varitek to 2B
t4,2-0,2,"______, J. Varitek, T. Nixon",6(3-2) CB.BSBS,O,BOS,D. Lowe,A. Cook,-5%,67%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 2 Rockies 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 2 Rockies 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 2 Rockies 0.
