Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 White Sox' Josh Stewart facing 1-2-3
t1,0-0,0,"______, ______, ______",2(0-1) CX,,BOS,J. Damon,J. Stewart,6%,56%,Single to RF (Line Drive to CF-RF); J. Damon to 2B/Adv on E9
t1,0-0,0,"______, J. Damon, ______",5(3-1) BBBCX,,BOS,O. Cabrera,J. Stewart,6%,62%,Single to P/Bunt; J. Damon to 3B
t1,0-0,0,"O. Cabrera, ______, J. Damon",1(0-0) X,RRR,BOS,M. Ramirez,J. Stewart,13%,75%,Home Run (Line Drive); J. Damon Scores; O. Cabrera Scores
t1,3-0,0,"______, ______, ______",4(2-1) CBBX,O,BOS,D. Ortiz,J. Stewart,-2%,73%,Groundout: 1B unassisted
t1,3-0,1,"______, ______, ______",5(2-2) FBBCX,O,BOS,J. Varitek,J. Stewart,-1%,72%,Groundout: 2B-1B
t1,3-0,2,"______, ______, ______",4(1-2) CBFX,O,BOS,K. Millar,J. Stewart,-1%,72%,Flyball: LF (LF-CF)
,,,,,,,,,3 runs 3 hits 1 error 0 LOB. Red Sox 3 White Sox 0.,3 runs 3 hits 1 error 0 LOB. Red Sox 3 White Sox 0.,3 runs 3 hits 1 error 0 LOB. Red Sox 3 White Sox 0.
Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st White Sox Batting Behind 0-3 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-3,0,"______, ______, ______",2(0-1) CX,,CHW,W. Harris,B. Arroyo,-3%,68%,Single to LF (Ground Ball)
b1,0-3,0,"W. Harris, ______, ______",3(1-1) BCX,O,CHW,J. Uribe,B. Arroyo,3%,71%,Popfly: 3B
b1,0-3,1,"W. Harris, ______, ______",4(1-2) B+1SF11X,O,CHW,C. Everett,B. Arroyo,2%,73%,Groundout: 1B unassisted; W. Harris to 2B
b1,0-3,2,"______, W. Harris, ______",2(1-0) BX,RR,CHW,P. Konerko,B. Arroyo,-15%,59%,Home Run (Line Drive); W. Harris Scores
b1,2-3,2,"______, ______, ______",4(2-1) FBBH,,CHW,A. Rowand,B. Arroyo,-1%,57%,Hit By Pitch
b1,2-3,2,"A. Rowand, ______, ______",2(0-1) CX,O,CHW,R. Gload,B. Arroyo,2%,60%,Lineout: 3B
,,,,,,,,,2 runs 2 hits 0 errors 1 LOB. Red Sox 3 White Sox 2.,2 runs 2 hits 0 errors 1 LOB. Red Sox 3 White Sox 2.,2 runs 2 hits 0 errors 1 LOB. Red Sox 3 White Sox 2.
