Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Tigers' Jeremy Bonderman facing 1-2-3
t1,0-0,0,"______, ______, ______",7(3-2) BBFBFFX,,BOS,J. Damon,J. Bonderman,3%,53%,Single to RF (Line Drive to CF-RF)
t1,0-0,0,"J. Damon, ______, ______",4(1-2) BF11SX,O,BOS,K. Youkilis,J. Bonderman,-2%,52%,Groundout: 3B-1B; J. Damon to 2B
t1,0-0,1,"______, J. Damon, ______",4(3-0) BBBB,,BOS,K. Millar,J. Bonderman,2%,54%,Walk
t1,0-0,1,"K. Millar, J. Damon, ______",2(1-0) BB,,BOS,D. Ortiz,J. Bonderman,5%,58%,Wild Pitch; J. Damon to 3B; K. Millar to 2B
t1,0-0,1,"______, K. Millar, J. Damon",3(2-0) BB.X,RO,BOS,D. Ortiz,J. Bonderman,0%,58%,Groundout: 1B-P; J. Damon Scores; K. Millar to 3B
t1,1-0,2,"______, ______, K. Millar",6(3-2) BCBBCC,O,BOS,J. Varitek,J. Bonderman,-3%,55%,Strikeout Looking
,,,,,,,,,1 run 1 hit 0 errors 1 LOB. Red Sox 1 Tigers 0.,1 run 1 hit 0 errors 1 LOB. Red Sox 1 Tigers 0.,1 run 1 hit 0 errors 1 LOB. Red Sox 1 Tigers 0.
Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Tigers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3
b1,0-1,0,"______, ______, ______",3(0-2) CSC,O,DET,A. Sanchez,P. Martinez,2%,57%,Strikeout Looking
