Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Royals' Jimmy Gobble facing 1-2-3
t1,0-0,0,"['', '', '']",4(2-1) BCBX,,BOS,J. Damon,J. Gobble,-6%,44%,Double to RF (Line Drive to Deep RF)
t1,0-0,0,"['', 'Damon', '']",4(2-1) BCBX,O,BOS,M. Bellhorn,J. Gobble,2%,46%,Groundout: 1B unassisted; Damon to 3B
t1,0-0,1,"['', '', 'Damon']",4(1-2) BFFX,O,BOS,D. Ortiz,J. Gobble,5%,51%,Foul Popfly: 3B (3B Foul)
t1,0-0,2,"['', '', 'Damon']",7(2-2) BCFBFFS,O,BOS,M. Ramirez,J. Gobble,4%,55%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Royals 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Royals 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Royals 0.
Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Royals Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
b1,0-0,0,"['', '', '']",5(2-2) CBCBX,,KCR,T. Graffanino,T. Wakefield,3%,58%,Single to CF (Line Drive)
b1,0-0,0,"['Graffanino', '', '']",3(2-0) 1BB>C,,KCR,C. Beltran,T. Wakefield,2%,61%,Graffanino Steals 2B
b1,0-0,0,"['', 'Graffanino', '']",5(2-2) 1BB>C.FX,R,KCR,C. Beltran,T. Wakefield,6%,67%,Single to CF (Line Drive); Graffanino Scores
b1,1-0,0,"['Beltran', '', '']",2(0-1) C1>C,O,KCR,M. Sweeney,T. Wakefield,-5%,62%,Beltran Caught Stealing 2B (C-2B)
b1,1-0,1,"['', '', '']",3(0-2) C1>C.X,,KCR,M. Sweeney,T. Wakefield,2%,64%,Single to CF (Line Drive)
b1,1-0,1,"['Sweeney', '', '']",3(0-2) CCS,O,KCR,K. Harvey,T. Wakefield,-3%,62%,Strikeout Swinging
b1,1-0,2,"['Sweeney', '', '']",7(3-2) CBBBC>F>S,O,KCR,M. Stairs,T. Wakefield,-2%,60%,Strikeout Swinging
,,,,,,,,,1 run 3 hits 0 errors 1 LOB. Red Sox 0 Royals 1.,1 run 3 hits 0 errors 1 LOB. Red Sox 0 Royals 1.,1 run 3 hits 0 errors 1 LOB. Red Sox 0 Royals 1.
Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7,Top of the 2nd Red Sox Batting Behind 0-1 Royals' Jimmy Gobble facing 5-6-7
t2,0-1,0,"['', '', '']",5(1-2) CFFBX,O,BOS,K. Millar,J. Gobble,3%,62%,Groundout: 2B-1B
t2,0-1,1,"['', '', '']",3(0-2) CCX,O,BOS,D. McCarty,J. Gobble,2%,64%,Popfly: 2B (Short CF)
t2,0-1,2,"['', '', '']",5(3-1) BBCBX,O,BOS,K. Youkilis,J. Gobble,1%,65%,Groundout: 1B-P
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 1.
Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8,Bottom of the 2nd Royals Batting Ahead 1-0 Red Sox' Tim Wakefield facing 6-7-8
b2,1-0,0,"['', '', '']",3(2-0) BBX,O,KCR,J. Randa,T. Wakefield,-2%,63%,Flyball: LF (LF-CF)
b2,1-0,1,"['', '', '']",5(3-1) BBBCB,,KCR,B. Santiago,T. Wakefield,2%,65%,Walk
b2,1-0,1,"['Santiago', '', '']",2(0-1) CB,,KCR,A. Berroa,T. Wakefield,1%,67%,Passed Ball; Santiago to 2B
b2,1-0,1,"['', 'Santiago', '']",3(1-1) CB.X,R,KCR,A. Berroa,T. Wakefield,8%,75%,Single to CF (Line Drive); Santiago Scores/unER; Berroa to 2B/Adv on throw
b2,2-0,1,"['', 'Berroa', '']",3(0-2) FSS,O,KCR,D. Relaford,T. Wakefield,-3%,73%,Strikeout Swinging
b2,2-0,2,"['', 'Berroa', '']",2(0-1) FB,,KCR,T. Graffanino,T. Wakefield,0%,73%,Passed Ball; Berroa to 3B
b2,2-0,2,"['', '', 'Berroa']",4(2-1) FB.BX,O,KCR,T. Graffanino,T. Wakefield,-3%,70%,Groundout: SS-1B
,,,,,,,,,1 run 1 hit 0 errors 1 LOB. Red Sox 0 Royals 2.,1 run 1 hit 0 errors 1 LOB. Red Sox 0 Royals 2.,1 run 1 hit 0 errors 1 LOB. Red Sox 0 Royals 2.
Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1,Top of the 3rd Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 8-9-1
t3,0-2,0,"['', '', '']",3(1-1) CBX,O,BOS,D. Mirabelli,J. Gobble,3%,73%,Flyball: CF (Deep CF)
t3,0-2,1,"['', '', '']",1(0-0) X,O,BOS,P. Reese,J. Gobble,2%,74%,Popfly: 2B
t3,0-2,2,"['', '', '']",3(1-1) CBX,O,BOS,J. Damon,J. Gobble,1%,76%,Popfly: 2B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 2.
Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4,Bottom of the 3rd Royals Batting Ahead 2-0 Red Sox' Tim Wakefield facing 2-3-4
b3,2-0,0,"['', '', '']",4(1-2) CBSX,O,KCR,C. Beltran,T. Wakefield,-2%,74%,Groundout: 1B-P
b3,2-0,1,"['', '', '']",3(0-2) CCX,O,KCR,M. Sweeney,T. Wakefield,-1%,73%,Groundout: 3B-1B
b3,2-0,2,"['', '', '']",2(0-1) FX,O,KCR,K. Harvey,T. Wakefield,-1%,72%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Royals 2.
Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4,Top of the 4th Red Sox Batting Behind 0-2 Royals' Jimmy Gobble facing 2-3-4
t4,0-2,0,"['', '', '']",3(2-0) BBX,O,BOS,M. Bellhorn,J. Gobble,3%,74%,Flyball: CF (Deep CF)
t4,0-2,1,"['', '', '']",3(1-1) FBX,O,BOS,D. Ortiz,J. Gobble,2%,76%,Lineout: SS
t4,0-2,2,"['', '', '']",1(0-0) X,O,BOS,M. Ramirez,J. Gobble,1%,78%,Flyball: RF
