Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Twins' Johan Santana facing 1-2-3
t1,0-0,0,"______, ______, ______",3(1-1) BCX,O,BOS,J. Damon,J. Santana,2%,52%,Groundout: SS-1B
t1,0-0,1,"______, ______, ______",4(1-2) BSSC,O,BOS,M. Bellhorn,J. Santana,2%,54%,Strikeout Looking
t1,0-0,2,"______, ______, ______",4(2-1) BBCX,R,BOS,O. Cabrera,J. Santana,-9%,45%,Home Run (Fly Ball)
t1,1-0,2,"______, ______, ______",2(1-0) BX,O,BOS,M. Ramirez,J. Santana,1%,46%,Flyball: CF
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Twins 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Twins 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Twins 0.
Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Twins Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3
b1,0-1,0,"______, ______, ______",3(0-2) FCC,O,MIN,S. Stewart,P. Martinez,-2%,43%,Strikeout Looking
b1,0-1,1,"______, ______, ______",4(1-2) BFFX,,MIN,C. Guzman,P. Martinez,3%,46%,Single to 2B (Ground Ball)
b1,0-1,1,"C. Guzman, ______, ______",3(2-0) BBX,O,MIN,L. Ford,P. Martinez,-3%,43%,Flyball: CF
b1,0-1,2,"C. Guzman, ______, ______",3(0-2) CFS,O,MIN,J. Morneau,P. Martinez,-2%,40%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Twins 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Twins 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Twins 0.
