Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Yankees' Javier Vazquez facing 1-2-3
t1,0-0,0,"______, ______, ______",2(1-0) BX,R,BOS,J. Damon,J. Vazquez,-9%,41%,Home Run (Fly Ball)
t1,1-0,0,"______, ______, ______",3(2-0) BBX,O,BOS,M. Bellhorn,J. Vazquez,2%,43%,Popfly: 1B
t1,1-0,1,"______, ______, ______",5(1-2) BSFFX,O,BOS,D. Ortiz,J. Vazquez,1%,44%,Lineout: CF
t1,1-0,2,"______, ______, ______",6(3-2) BFBBFS,O,BOS,M. Ramirez,J. Vazquez,1%,45%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Yankees 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Yankees 0.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Yankees 0.
Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3
b1,0-1,0,"______, ______, ______",3(0-2) CFX,,NYY,K. Lofton,D. Lowe,4%,49%,Reached on E6 (throw) (Ground Ball); K. Lofton to 1B
b1,0-1,0,"K. Lofton, ______, ______",2(1-0) B>X,O,NYY,D. Jeter,D. Lowe,-2%,47%,Groundout: SS-1B; K. Lofton to 2B
b1,0-1,1,"______, K. Lofton, ______",7(3-2) BBCBCFX,O,NYY,G. Sheffield,D. Lowe,-4%,43%,Groundout: C-1B (Front of Home)
b1,0-1,2,"______, K. Lofton, ______",2(1-0) BX,O,NYY,A. Rodriguez,D. Lowe,-3%,40%,Flyball: RF
,,,,,,,,,0 runs 0 hits 1 error 1 LOB. Red Sox 1 Yankees 0.,0 runs 0 hits 1 error 1 LOB. Red Sox 1 Yankees 0.,0 runs 0 hits 1 error 1 LOB. Red Sox 1 Yankees 0.
Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7,Top of the 2nd Red Sox Batting Ahead 1-0 Yankees' Javier Vazquez facing 5-6-7
t2,1-0,0,"______, ______, ______",1(0-0) X,O,BOS,N. Garciaparra,J. Vazquez,2%,42%,Groundout: 3B-1B
t2,1-0,1,"______, ______, ______",2(0-1) CX,O,BOS,T. Nixon,J. Vazquez,2%,44%,Groundout: 2B-1B
t2,1-0,2,"______, ______, ______",5(3-1) BCBBX,O,BOS,J. Varitek,J. Vazquez,1%,45%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Yankees 0.
Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7,Bottom of the 2nd Yankees Batting Behind 0-1 Red Sox' Derek Lowe facing 5-6-7
b2,0-1,0,"______, ______, ______",3(2-0) BBX,,NYY,H. Matsui,D. Lowe,4%,49%,Single to LF (Line Drive to LF-CF)
b2,0-1,0,"H. Matsui, ______, ______",2(1-0) BX,,NYY,B. Williams,D. Lowe,6%,55%,Single to RF (Ground Ball); H. Matsui to 2B
b2,0-1,0,"B. Williams, H. Matsui, ______",5(3-1) BCBBX,OO,NYY,J. Posada,D. Lowe,-12%,43%,Ground Ball Double Play: SS-2B-1B; H. Matsui to 3B
b2,0-1,2,"______, ______, H. Matsui",2(1-0) BX,R,NYY,T. Clark,D. Lowe,9%,52%,Single to RF (Line Drive); H. Matsui Scores
b2,1-1,2,"T. Clark, ______, ______",6(3-2) BCFBB>X,O,NYY,M. Cairo,D. Lowe,-2%,50%,Groundout: P-1B
,,,,,,,,,1 run 3 hits 0 errors 1 LOB. Red Sox 1 Yankees 1.,1 run 3 hits 0 errors 1 LOB. Red Sox 1 Yankees 1.,1 run 3 hits 0 errors 1 LOB. Red Sox 1 Yankees 1.
Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1,Top of the 3rd Red Sox Batting Tied 1-1 Yankees' Javier Vazquez facing 8-9-1
t3,1-1,0,"______, ______, ______",12(3-2) SBCBFFFFFFBS,O,BOS,K. Millar,J. Vazquez,3%,53%,Strikeout Swinging
t3,1-1,1,"______, ______, ______",5(0-2) CFFFS,O,BOS,P. Reese,J. Vazquez,2%,54%,Strikeout Swinging
t3,1-1,2,"______, ______, ______",1(0-0) X,R,BOS,J. Damon,J. Vazquez,-11%,43%,Home Run (Fly Ball to CF-RF)
t3,2-1,2,"______, ______, ______",8(3-2) CCBBFBFS,O,BOS,M. Bellhorn,J. Vazquez,1%,44%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 2 Yankees 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 2 Yankees 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 2 Yankees 1.
Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Yankees Batting Behind 1-2 Red Sox' Derek Lowe facing 1-2-3
b3,1-2,0,"______, ______, ______",3(0-2) CSX,,NYY,K. Lofton,D. Lowe,4%,49%,Reached on E3 (Ground Ball)
b3,1-2,0,"K. Lofton, ______, ______",6(3-2) CBB1>FB>X,,NYY,D. Jeter,D. Lowe,10%,59%,Single to RF (Line Drive to RF Line); K. Lofton to 3B
b3,1-2,0,"D. Jeter, ______, K. Lofton",1(0-0) X,RO,NYY,G. Sheffield,D. Lowe,-3%,56%,Flyball: CF/Sacrifice Fly; K. Lofton Scores/unER
b3,2-2,1,"D. Jeter, ______, ______",3(1-1) CB>S,,NYY,A. Rodriguez,D. Lowe,2%,58%,D. Jeter Steals 2B
b3,2-2,1,"______, D. Jeter, ______",5(1-2) CB>S.FX,,NYY,A. Rodriguez,D. Lowe,2%,60%,Single to 3B (Ground Ball); D. Jeter stays at 2B
b3,2-2,1,"A. Rodriguez, D. Jeter, ______",6(2-2) BBCCF>B,,NYY,H. Matsui,D. Lowe,5%,65%,D. Jeter Steals 3B; A. Rodriguez Steals 2B
b3,2-2,1,"______, A. Rodriguez, D. Jeter",7(3-2) BBCCF>B.X,RR,NYY,H. Matsui,D. Lowe,11%,76%,Single to RF (Line Drive); D. Jeter Scores; A. Rodriguez Scores
b3,4-2,1,"H. Matsui, ______, ______",1(0-0) X,O,NYY,B. Williams,D. Lowe,-1%,75%,Groundout: C-1B (Front of Home); H. Matsui to 2B
