Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Athletics' Mark Redman facing 1-2-3
t1,0-0,0,"______, ______, ______",2(1-0) BX,R,BOS,J. Damon,M. Redman,9%,59%,Home Run (Fly Ball)
t1,1-0,0,"______, ______, ______",7(3-2) BCBBFFS,O,BOS,M. Bellhorn,M. Redman,-2%,57%,Strikeout Swinging
t1,1-0,1,"______, ______, ______",3(1-1) FBX,,BOS,M. Ramirez,M. Redman,4%,61%,Double to CF (Line Drive to Deep LF-CF)
t1,1-0,1,"______, M. Ramirez, ______",2(0-1) SX,O,BOS,D. Ortiz,M. Redman,-3%,58%,Groundout: 2B-1B; M. Ramirez to 3B
t1,1-0,2,"______, ______, M. Ramirez",6(3-2) CBBBCX,O,BOS,J. Varitek,M. Redman,-3%,55%,Flyball: CF (Deep CF)
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Athletics 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Athletics 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Athletics 0.
Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 1st Athletics Batting Behind 0-1 Red Sox' Derek Lowe facing 1-2-3
b1,0-1,0,"______, ______, ______",1(0-0) X,,OAK,M. Kotsay,D. Lowe,-4%,51%,Single to RF (Ground Ball)
b1,0-1,0,"M. Kotsay, ______, ______",6(3-2) BBL1CB>B,,OAK,M. McLemore,D. Lowe,-6%,45%,Walk; M. Kotsay to 2B
b1,0-1,0,"M. McLemore, M. Kotsay, ______",1(0-0) X,O,OAK,E. Chavez,D. Lowe,5%,51%,Flyball: RF (CF-RF)
b1,0-1,1,"M. McLemore, M. Kotsay, ______",4(2-1) BCBX,O,OAK,S. Hatteberg,D. Lowe,5%,55%,Flyball: LF
b1,0-1,2,"M. McLemore, M. Kotsay, ______",2(1-0) BX,O,OAK,E. Durazo,D. Lowe,4%,60%,Groundout: 1B-P
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Athletics 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Athletics 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 1 Athletics 0.
Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8,Top of the 2nd Red Sox Batting Ahead 1-0 Athletics' Mark Redman facing 6-7-8
t2,1-0,0,"______, ______, ______",3(0-2) CSX,,BOS,K. Millar,M. Redman,5%,65%,Double to LF (Line Drive to Deep LF Line)
t2,1-0,0,"______, K. Millar, ______",1(0-0) X,O,BOS,O. Cabrera,M. Redman,-4%,61%,Lineout: 1B
t2,1-0,1,"______, K. Millar, ______",8(3-2) CCBFFBBX,O,BOS,B. Mueller,M. Redman,-3%,58%,Foul Popfly: 3B (3B Foul)
t2,1-0,2,"______, K. Millar, ______",2(1-0) BX,RR,BOS,G. Kapler,M. Redman,16%,74%,Home Run (Line Drive); K. Millar Scores
t2,3-0,2,"______, ______, ______",2(1-0) BX,O,BOS,J. Damon,M. Redman,-1%,73%,Groundout: 2B-1B
,,,,,,,,,2 runs 2 hits 0 errors 0 LOB. Red Sox 3 Athletics 0.,2 runs 2 hits 0 errors 0 LOB. Red Sox 3 Athletics 0.,2 runs 2 hits 0 errors 0 LOB. Red Sox 3 Athletics 0.
Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8,Bottom of the 2nd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 6-7-8
b2,0-3,0,"______, ______, ______",2(1-0) BX,,OAK,E. Byrnes,D. Lowe,-4%,70%,Single to CF (Ground Ball)
b2,0-3,0,"E. Byrnes, ______, ______",2(0-1) 1FX,O,OAK,D. Miller,D. Lowe,2%,72%,Groundout: 2B-1B; E. Byrnes to 2B
b2,0-3,1,"______, E. Byrnes, ______",3(0-2) MCS,O,OAK,B. Crosby,D. Lowe,3%,75%,Strikeout Swinging
b2,0-3,2,"______, E. Byrnes, ______",1(0-0) X,O,OAK,N. Swisher,D. Lowe,3%,78%,Groundout: 3B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 3 Athletics 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 3 Athletics 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 3 Athletics 0.
Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4,Top of the 3rd Red Sox Batting Ahead 3-0 Athletics' Mark Redman facing 2-3-4
t3,3-0,0,"______, ______, ______",3(2-0) BBX,O,BOS,M. Bellhorn,M. Redman,-1%,77%,Groundout: SS-1B
t3,3-0,1,"______, ______, ______",4(1-2) CCBX,O,BOS,M. Ramirez,M. Redman,-1%,76%,Lineout: RF (Deep CF-RF)
t3,3-0,2,"______, ______, ______",9(2-2) CFFFBBFFS,O,BOS,D. Ortiz,M. Redman,-1%,75%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 3 Athletics 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 3 Athletics 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 3 Athletics 0.
Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3,Bottom of the 3rd Athletics Batting Behind 0-3 Red Sox' Derek Lowe facing 1-2-3
b3,0-3,0,"______, ______, ______",2(1-0) BX,O,OAK,M. Kotsay,D. Lowe,2%,78%,Groundout: SS-1B
b3,0-3,1,"______, ______, ______",2(0-1) CX,O,OAK,M. McLemore,D. Lowe,2%,79%,Lineout: 3B
b3,0-3,2,"______, ______, ______",6(3-2) CBBCBB,,OAK,E. Chavez,D. Lowe,-1%,78%,Walk
b3,0-3,2,"E. Chavez, ______, ______",2(0-1) CX,O,OAK,S. Hatteberg,D. Lowe,2%,80%,Groundout: 2B-P
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 3 Athletics 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 3 Athletics 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 3 Athletics 0.
