Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Mariners' Ron Villone facing 1-2-3
t1,0-0,0,"______, ______, ______",3(1-1) BCX,O,BOS,J. Damon,R. Villone,2%,52%,Groundout: 3B-1B
t1,0-0,1,"______, ______, ______",3(1-1) FBH,,BOS,B. Mueller,R. Villone,-2%,50%,Hit By Pitch
t1,0-0,1,"B. Mueller, ______, ______",7(3-2) CBBCB>F>B,,BOS,D. Ortiz,R. Villone,-3%,46%,Walk; B. Mueller to 2B
t1,0-0,1,"D. Ortiz, B. Mueller, ______",5(3-1) BBBCB,,BOS,M. Ramirez,R. Villone,-6%,41%,Walk; B. Mueller to 3B; D. Ortiz to 2B
t1,0-0,1,"M. Ramirez, D. Ortiz, B. Mueller",2(0-1) FX,OO,BOS,N. Garciaparra,R. Villone,14%,55%,Ground Ball Double Play: 3B-2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 2 LOB. Red Sox 0 Mariners 0.,0 runs 0 hits 0 errors 2 LOB. Red Sox 0 Mariners 0.,0 runs 0 hits 0 errors 2 LOB. Red Sox 0 Mariners 0.
Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Mariners Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-0,0,"______, ______, ______",2(1-0) BX,,SEA,I. Suzuki,B. Arroyo,3%,58%,Reached on E4 (Ground Ball)
b1,0-0,0,"I. Suzuki, ______, ______",2(0-1) CX,O,SEA,R. Winn,B. Arroyo,-3%,55%,Groundout: 1B-SS/Forceout at 2B
