Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Devil Rays' Mark Hendrickson facing 1-2-3
t1,0-0,0,"______, ______, ______",6(3-2) BBCBCC,O,BOS,J. Damon,M. Hendrickson,-2%,48%,Strikeout Looking
t1,0-0,1,"______, ______, ______",4(0-2) CFFX,O,BOS,K. Youkilis,M. Hendrickson,-2%,46%,Popfly: SS
t1,0-0,2,"______, ______, ______",3(0-2) CFX,O,BOS,O. Cabrera,M. Hendrickson,-1%,45%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Devil Rays 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Devil Rays 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Devil Rays 0.
Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Devil Rays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
b1,0-0,0,"______, ______, ______",2(0-1) CX,O,TBD,C. Crawford,T. Wakefield,2%,47%,Flyball: CF
b1,0-0,1,"______, ______, ______",5(3-1) BSBBB,,TBD,R. Baldelli,T. Wakefield,-2%,45%,Walk
b1,0-0,1,"R. Baldelli, ______, ______",3(1-1) CB11X,RR,TBD,T. Martinez,T. Wakefield,-16%,29%,Home Run (Fly Ball); R. Baldelli Scores
b1,2-0,1,"______, ______, ______",3(1-1) BCX,O,TBD,A. Huff,T. Wakefield,1%,30%,Groundout: SS-1B
b1,2-0,2,"______, ______, ______",4(1-2) CFBS,O,TBD,J. Cruz,T. Wakefield,1%,31%,Strikeout Swinging
,,,,,,,,,2 runs 1 hit 0 errors 0 LOB. Red Sox 0 Devil Rays 2.,2 runs 1 hit 0 errors 0 LOB. Red Sox 0 Devil Rays 2.,2 runs 1 hit 0 errors 0 LOB. Red Sox 0 Devil Rays 2.
