Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 1-2-3
t1,0-0,0,"______, ______, ______",5(1-2) CSFBS,O,BOS,J. Damon,R. Dickey,2%,52%,Strikeout Swinging
t1,0-0,1,"______, ______, ______",1(0-0) X,O,BOS,B. Mueller,R. Dickey,2%,54%,Flyball: RF
t1,0-0,2,"______, ______, ______",5(3-1) FBBBX,O,BOS,D. Ortiz,R. Dickey,1%,55%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.
Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
b1,0-0,0,"______, ______, ______",4(2-1) BBCX,O,TEX,M. Young,T. Wakefield,-2%,53%,Lineout: CF
b1,0-0,1,"______, ______, ______",8(3-2) BSBFFBFS,O,TEX,H. Blalock,T. Wakefield,-2%,51%,Strikeout Swinging
b1,0-0,2,"______, ______, ______",3(1-1) CBX,O,TEX,A. Soriano,T. Wakefield,-1%,50%,Flyball: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.
Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 4-5-6
t2,0-0,0,"______, ______, ______",8(3-2) BBBCFFFB,,BOS,M. Ramirez,R. Dickey,-4%,46%,Walk
t2,0-0,0,"M. Ramirez, ______, ______",1(0-0) X,O,BOS,B. Daubach,R. Dickey,4%,50%,Flyball: LF (Deep LF)
t2,0-0,1,"M. Ramirez, ______, ______",3(1-1) 1BCX,,BOS,K. Millar,R. Dickey,-6%,44%,Single to RF (Line Drive to RF Line); M. Ramirez to 3B
t2,0-0,1,"K. Millar, ______, M. Ramirez",5(3-1) BCB*BB,,BOS,M. Bellhorn,R. Dickey,-3%,41%,Walk; K. Millar to 2B
t2,0-0,1,"M. Bellhorn, K. Millar, M. Ramirez",2(0-1) CX,OO,BOS,D. Mirabelli,R. Dickey,15%,56%,Ground Ball Double Play: 3B-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.
Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6
b2,0-0,0,"______, ______, ______",2(1-0) BX,O,TEX,B. Fullmer,T. Wakefield,-2%,53%,Foul Popfly: C (Behind Home)
b2,0-0,1,"______, ______, ______",3(1-1) BSH,,TEX,M. Teixeira,T. Wakefield,3%,56%,Hit By Pitch
b2,0-0,1,"M. Teixeira, ______, ______",3(1-1) SBX,,TEX,B. Jordan,T. Wakefield,8%,64%,Double to LF (Ground Ball); M. Teixeira to 3B
b2,0-0,1,"______, B. Jordan, M. Teixeira",5(2-2) FBBCS,O,TEX,D. Dellucci,T. Wakefield,-8%,56%,Strikeout Swinging
b2,0-0,2,"______, B. Jordan, M. Teixeira",7(3-2) BCCBFBX,O,TEX,K. Mench,T. Wakefield,-6%,50%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.
Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' R.A. Dickey facing 9-1-2
t3,0-0,0,"______, ______, ______",3(1-1) CBX,,BOS,P. Reese,R. Dickey,-4%,46%,Single to CF (Ground Ball)
t3,0-0,0,"P. Reese, ______, ______",3(0-2) 1CFX,O,BOS,J. Damon,R. Dickey,2%,48%,Groundout: 1B-P; P. Reese to 2B
t3,0-0,1,"______, P. Reese, ______",2(1-0) BX,O,BOS,B. Mueller,R. Dickey,3%,52%,Flyball: CF; P. Reese to 3B
t3,0-0,2,"______, ______, P. Reese",4(3-0) BBBB,,BOS,D. Ortiz,R. Dickey,-1%,50%,Walk
t3,0-0,2,"D. Ortiz, ______, P. Reese",4(1-2) FFBS,O,BOS,M. Ramirez,R. Dickey,6%,56%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.
Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2,Bottom of the 3rd Rangers Batting Tied 0-0 Red Sox' Tim Wakefield facing 9-1-2
b3,0-0,0,"______, ______, ______",1(0-0) X,O,TEX,G. Laird,T. Wakefield,-3%,53%,Flyball: LF
b3,0-0,1,"______, ______, ______",6(2-2) BBCFFX,O,TEX,M. Young,T. Wakefield,-2%,51%,Popfly: 2B (Short RF Line)
b3,0-0,2,"______, ______, ______",1(0-0) X,,TEX,H. Blalock,T. Wakefield,1%,53%,Single to 2B (Ground Ball)
b3,0-0,2,"H. Blalock, ______, ______",2(0-1) CX,O,TEX,A. Soriano,T. Wakefield,-3%,50%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.
