Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 1-2-3
t1,0-0,0,"______, ______, ______",2(0-1) CX,O,BOS,J. Damon,R. Drese,2%,52%,Groundout: 2B-1B
t1,0-0,1,"______, ______, ______",2(1-0) BX,O,BOS,B. Mueller,R. Drese,2%,54%,Groundout: 2B-1B
t1,0-0,2,"______, ______, ______",5(2-2) BCCBX,,BOS,D. Ortiz,R. Drese,-1%,53%,Single to SS (Ground Ball)
t1,0-0,2,"D. Ortiz, ______, ______",5(2-2) BBCFS,O,BOS,M. Ramirez,R. Drese,2%,55%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.
Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Bottom of the 1st Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
b1,0-0,0,"______, ______, ______",6(2-2) CBFFBC,O,TEX,M. Young,B. Arroyo,-2%,53%,Strikeout Looking
b1,0-0,1,"______, ______, ______",6(3-2) CBBBFB,,TEX,H. Blalock,B. Arroyo,2%,55%,Walk
b1,0-0,1,"H. Blalock, ______, ______",3(1-1) BSX,O,TEX,A. Soriano,B. Arroyo,-3%,52%,Popfly: 2B (Short RF)
b1,0-0,2,"H. Blalock, ______, ______",2(1-0) BX,,TEX,B. Fullmer,B. Arroyo,3%,55%,Single to RF (Line Drive); H. Blalock to 3B
b1,0-0,2,"B. Fullmer, ______, H. Blalock",2(1-0) BX,O,TEX,K. Mench,B. Arroyo,-5%,50%,Groundout: P-1B
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Rangers 0.
Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7,Top of the 2nd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 5-6-7
t2,0-0,0,"______, ______, ______",4(2-1) BCBX,O,BOS,B. Daubach,R. Drese,2%,52%,Lineout: 1B
t2,0-0,1,"______, ______, ______",2(0-1) CX,,BOS,K. Millar,R. Drese,-3%,50%,Single to CF (Line Drive)
t2,0-0,1,"K. Millar, ______, ______",4(3-0) BBBB,,BOS,M. Bellhorn,R. Drese,-4%,46%,Walk; K. Millar to 2B
t2,0-0,1,"M. Bellhorn, K. Millar, ______",7(2-2) CBBFFFX,OO,BOS,D. Mirabelli,R. Drese,9%,56%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.,0 runs 1 hit 0 errors 1 LOB. Red Sox 0 Rangers 0.
Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8,Bottom of the 2nd Rangers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 6-7-8
b2,0-0,0,"______, ______, ______",3(0-2) CSC,O,TEX,M. Teixeira,B. Arroyo,-2%,53%,Strikeout Looking
b2,0-0,1,"______, ______, ______",6(2-2) BCFFBS,O,TEX,E. Young,B. Arroyo,-2%,51%,Strikeout Swinging
b2,0-0,2,"______, ______, ______",3(0-2) CCX,O,TEX,D. Dellucci,B. Arroyo,-1%,50%,Lineout: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Rangers 0.
Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2,Top of the 3rd Red Sox Batting Tied 0-0 Rangers' Ryan Drese facing 9-1-2
t3,0-0,0,"______, ______, ______",7(3-2) CFBBFBX,O,BOS,P. Reese,R. Drese,3%,53%,Groundout: SS-1B
t3,0-0,1,"______, ______, ______",9(3-2) BCFFBFBFB,,BOS,J. Damon,R. Drese,-3%,50%,Walk
t3,0-0,1,"J. Damon, ______, ______",4(1-2) CCB1C,O,BOS,B. Mueller,R. Drese,3%,53%,Strikeout Looking
t3,0-0,2,"J. Damon, ______, ______",11(3-2) CBFF1>FFF*BFB>B,,BOS,D. Ortiz,R. Drese,-2%,51%,Walk; J. Damon to 2B
t3,0-0,2,"D. Ortiz, J. Damon, ______",4(1-2) BSFS,O,BOS,M. Ramirez,R. Drese,5%,56%,Strikeout Swinging
