Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Rangers' Joaquin Benoit facing 1-2-3
t1,0-0,0,"['', '', '']",2(1-0) BX,,BOS,J. Damon,J. Benoit,-8%,42%,Triple to CF (Fly Ball to Deep CF)
t1,0-0,0,"['', '', 'Damon']",4(1-2) BCFX,RO,BOS,B. Mueller,J. Benoit,1%,43%,Flyball: CF/Sacrifice Fly; Damon Scores
t1,1-0,1,"['', '', '']",1(0-0) X,,BOS,D. Ortiz,J. Benoit,-2%,41%,Single to LF (Line Drive)
t1,1-0,1,"['Ortiz', '', '']",5(2-2) BSFBX,O,BOS,M. Ramirez,J. Benoit,3%,44%,Groundout: 3B-2B/Forceout at 2B
t1,1-0,2,"['Ramirez', '', '']",3(1-1) S1BX,O,BOS,J. Varitek,J. Benoit,2%,46%,Groundout: 1B unassisted
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Rangers 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Rangers 0.,1 run 2 hits 0 errors 1 LOB. Red Sox 1 Rangers 0.
Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3,Bottom of the 1st Rangers Batting Behind 0-1 Red Sox' Pedro Martinez facing 1-2-3
b1,0-1,0,"['', '', '']",9(3-2) CBFFBFBFX,O,TEX,M. Young,P. Martinez,-2%,44%,Flyball: RF (Deep RF)
b1,0-1,1,"['', '', '']",2(0-1) CX,R,TEX,H. Blalock,P. Martinez,9%,53%,Home Run (Fly Ball)
b1,1-1,1,"['', '', '']",2(1-0) BX,O,TEX,A. Soriano,P. Martinez,-2%,51%,Flyball: LF (LF-CF)
b1,1-1,2,"['', '', '']",5(1-2) SBSFC,O,TEX,B. Fullmer,P. Martinez,-1%,50%,Strikeout Looking
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Rangers 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Rangers 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 1 Rangers 1.
Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8,Top of the 2nd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 6-7-8
t2,1-1,0,"['', '', '']",4(2-1) BCBX,,BOS,D. McCarty,J. Benoit,-6%,44%,Double to CF (Fly Ball to Deep CF)
t2,1-1,0,"['', 'McCarty', '']",3(2-0) BBX,O,BOS,M. Bellhorn,J. Benoit,2%,46%,Groundout: 1B unassisted; McCarty to 3B
t2,1-1,1,"['', '', 'McCarty']",2(1-0) BX,O,BOS,G. Kapler,J. Benoit,6%,52%,Groundout: 3B-1B
t2,1-1,2,"['', '', 'McCarty']",3(1-1) BCX,O,BOS,C. Crespo,J. Benoit,4%,56%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Rangers 1.,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Rangers 1.,0 runs 1 hit 0 errors 1 LOB. Red Sox 1 Rangers 1.
Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 2nd Rangers Batting Tied 1-1 Red Sox' Pedro Martinez facing 5-6-7
b2,1-1,0,"['', '', '']",4(1-2) CBFS,O,TEX,B. Jordan,P. Martinez,-2%,53%,Strikeout Swinging
b2,1-1,1,"['', '', '']",2(1-0) BX,O,TEX,D. Dellucci,P. Martinez,-2%,51%,Double to RF (Line Drive to Deep RF Line); Dellucci out at 3B/RF-2B-3B
b2,1-1,2,"['', '', '']",4(3-0) BBBX,O,TEX,H. Perry,P. Martinez,-1%,50%,Flyball: CF
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Red Sox 1 Rangers 1.,0 runs 1 hit 0 errors 0 LOB. Red Sox 1 Rangers 1.,0 runs 1 hit 0 errors 0 LOB. Red Sox 1 Rangers 1.
Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3,Top of the 3rd Red Sox Batting Tied 1-1 Rangers' Joaquin Benoit facing 1-2-3
t3,1-1,0,"['', '', '']",6(3-2) BSBBFX,O,BOS,J. Damon,J. Benoit,3%,53%,Groundout: 2B-1B
t3,1-1,1,"['', '', '']",1(0-0) X,O,BOS,B. Mueller,J. Benoit,2%,55%,Groundout: 2B-1B
t3,1-1,2,"['', '', '']",8(3-2) BBCFBFFX,O,BOS,D. Ortiz,J. Benoit,1%,56%,Groundout: 1B unassisted
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Rangers 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Rangers 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Rangers 1.
