Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Blue Jays' Miguel Batista facing 1-2-3
t1,0-0,0,"______, ______, ______",6(3-2) CBBCBB,,BOS,J. Damon,M. Batista,3%,53%,Walk
t1,0-0,0,"J. Damon, ______, ______",1(0-0) X,O,BOS,D. Roberts,M. Batista,-3%,50%,Bunt Popfly: C (Front of Home)
t1,0-0,1,"J. Damon, ______, ______",2(1-0) 1BX,,BOS,M. Ramirez,M. Batista,3%,53%,Single to LF (Ground Ball); J. Damon to 2B
t1,0-0,1,"M. Ramirez, J. Damon, ______",6(3-2) BC*BFBX,O,BOS,D. Ortiz,M. Batista,-4%,49%,Flyball: LF (Deep LF)
t1,0-0,2,"M. Ramirez, J. Damon, ______",6(2-2) CB*BFFS,O,BOS,K. Millar,M. Batista,-4%,45%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Blue Jays 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Blue Jays 0.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Blue Jays 0.
Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Bottom of the 1st Blue Jays Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
b1,0-0,0,"______, ______, ______",3(1-1) FBX,O,TOR,R. Johnson,T. Wakefield,2%,47%,Groundout: 3B-1B
b1,0-0,1,"______, ______, ______",5(1-2) CCBFX,O,TOR,O. Hudson,T. Wakefield,2%,49%,Groundout: 2B-1B
