Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
t1,0-0,0,"______, ______, ______",5(2-2) CCBBS,O,CLE,M. Lawton,P. Martinez,2%,52%,Strikeout Swinging
t1,0-0,1,"______, ______, ______",1(0-0) X,,CLE,O. Vizquel,P. Martinez,-2%,50%,Single to 2B (Ground Ball)
t1,0-0,1,"O. Vizquel, ______, ______",6(3-2) CBBCB>X,,CLE,J. Gerut,P. Martinez,-6%,44%,Single to RF (Ground Ball); O. Vizquel to 3B
t1,0-0,1,"J. Gerut, ______, O. Vizquel",1(0-0) X,RR,CLE,V. Martinez,P. Martinez,-13%,32%,Double to RF (Line Drive to CF-RF); O. Vizquel Scores; J. Gerut Scores
t1,2-0,1,"______, V. Martinez, ______",4(0-2) FSFC,O,CLE,T. Hafner,P. Martinez,3%,34%,Strikeout Looking
t1,2-0,2,"______, V. Martinez, ______",6(3-2) BCBBFB,,CLE,R. Belliard,P. Martinez,-1%,34%,Walk
t1,2-0,2,"R. Belliard, V. Martinez, ______",4(1-2) FBSS,O,CLE,B. Broussard,P. Martinez,3%,37%,Strikeout Swinging
,,,,,,,,,2 runs 3 hits 0 errors 2 LOB. Indians 2 Red Sox 0.,2 runs 3 hits 0 errors 2 LOB. Indians 2 Red Sox 0.,2 runs 3 hits 0 errors 2 LOB. Indians 2 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' CC Sabathia facing 1-2-3
b1,0-2,0,"______, ______, ______",6(3-2) CBBBCX,O,BOS,J. Damon,C. Sabathia,-2%,35%,Flyball: LF
b1,0-2,1,"______, ______, ______",5(1-2) FSBFX,O,BOS,M. Bellhorn,C. Sabathia,-2%,33%,Groundout: 3B-1B
