Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
t1,0-0,0,"______, ______, ______",2(0-1) CX,O,CHW,W. Harris,B. Arroyo,-2%,48%,Popfly: SS (Short CF)
t1,0-0,1,"______, ______, ______",6(2-2) CBFFBX,O,CHW,T. Perez,B. Arroyo,-2%,46%,Flyball: CF
t1,0-0,2,"______, ______, ______",1(0-0) X,O,CHW,C. Lee,B. Arroyo,-1%,45%,Popfly: 2B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 1-2-3
b1,0-0,0,"______, ______, ______",7(2-2) BFCFBFX,O,BOS,J. Damon,M. Buehrle,2%,47%,Groundout: SS-1B
b1,0-0,1,"______, ______, ______",9(3-2) BCCBFBFFB,,BOS,K. Youkilis,M. Buehrle,-2%,45%,Walk
b1,0-0,1,"K. Youkilis, ______, ______",3(1-1) FBX,O,BOS,M. Ramirez,M. Buehrle,3%,48%,Popfly: 1B
b1,0-0,2,"K. Youkilis, ______, ______",5(3-1) BBCB1B,,BOS,D. Ortiz,M. Buehrle,-2%,46%,Walk; K. Youkilis to 2B
b1,0-0,2,"D. Ortiz, K. Youkilis, ______",7(3-2) BBCFF*B>B,,BOS,J. Varitek,M. Buehrle,-3%,43%,Walk; K. Youkilis to 3B; D. Ortiz to 2B
b1,0-0,2,"J. Varitek, D. Ortiz, K. Youkilis",6(3-2) CBBCB>X,O,BOS,O. Cabrera,M. Buehrle,7%,50%,Groundout: SS-1B
,,,,,,,,,0 runs 0 hits 0 errors 3 LOB. White Sox 0 Red Sox 0.,0 runs 0 hits 0 errors 3 LOB. White Sox 0 Red Sox 0.,0 runs 0 hits 0 errors 3 LOB. White Sox 0 Red Sox 0.
Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6,Top of the 2nd White Sox Batting Tied 0-0 Red Sox' Bronson Arroyo facing 4-5-6
t2,0-0,0,"______, ______, ______",6(2-2) BCBSFX,O,CHW,P. Konerko,B. Arroyo,-2%,48%,Flyball: RF
t2,0-0,1,"______, ______, ______",6(2-2) FBFBFX,O,CHW,C. Everett,B. Arroyo,-2%,46%,Flyball: RF
t2,0-0,2,"______, ______, ______",2(0-1) MX,O,CHW,J. Valentin,B. Arroyo,-1%,45%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Red Sox 0.
Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9,Bottom of the 2nd Red Sox Batting Tied 0-0 White Sox' Mark Buehrle facing 7-8-9
b2,0-0,0,"______, ______, ______",3(0-2) CFS,O,BOS,D. Mientkiewicz,M. Buehrle,2%,47%,Strikeout Swinging
b2,0-0,1,"______, ______, ______",7(2-2) FBBCFFS,O,BOS,G. Kapler,M. Buehrle,2%,49%,Strikeout Swinging
b2,0-0,2,"______, ______, ______",6(3-2) FCBBBB,,BOS,R. Gutierrez,M. Buehrle,-1%,47%,Walk
b2,0-0,2,"R. Gutierrez, ______, ______",6(3-2) CBBBFS,O,BOS,J. Damon,M. Buehrle,3%,50%,Strikeout Swinging
