Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Tigers Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
t1,0-0,0,"______, ______, ______",3(0-2) CCX,O,DET,O. Infante,B. Arroyo,2%,52%,Flyball: CF
t1,0-0,1,"______, ______, ______",6(3-2) FBBCBB,,DET,B. Higginson,B. Arroyo,-2%,50%,Walk
t1,0-0,1,"B. Higginson, ______, ______",5(1-2) BFCFC,O,DET,I. Rodriguez,B. Arroyo,3%,53%,Strikeout Looking
t1,0-0,2,"B. Higginson, ______, ______",5(3-1) BBBCB,,DET,D. Young,B. Arroyo,-2%,51%,Walk; B. Higginson to 2B
t1,0-0,2,"D. Young, B. Higginson, ______",6(2-2) CSBBFS,O,DET,R. White,B. Arroyo,4%,55%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 2 LOB. Tigers 0 Red Sox 0.,0 runs 0 hits 0 errors 2 LOB. Tigers 0 Red Sox 0.,0 runs 0 hits 0 errors 2 LOB. Tigers 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Tigers' Jason Johnson facing 1-2-3
b1,0-0,0,"______, ______, ______",6(1-2) CLBFFX,,BOS,J. Damon,J. Johnson,3%,58%,Single to 3B (Ground Ball)
b1,0-0,0,"J. Damon, ______, ______",1(0-1) S1,,BOS,M. Bellhorn,J. Johnson,2%,61%,J. Damon Picked off 1B safe on E1; J. Damon to 2B
b1,0-0,0,"______, J. Damon, ______",4(1-2) S1.FBC,O,BOS,M. Bellhorn,J. Johnson,-4%,57%,Strikeout Looking
b1,0-0,1,"______, J. Damon, ______",5(3-1) BBFBX,O,BOS,M. Ramirez,J. Johnson,-3%,53%,Flyball: CF
b1,0-0,2,"______, J. Damon, ______",4(2-1) BBCX,R,BOS,D. Ortiz,J. Johnson,9%,62%,Double to CF (Line Drive); J. Damon Scores/unER
b1,1-0,2,"______, D. Ortiz, ______",6(3-2) BBBCCB,,BOS,K. Millar,J. Johnson,1%,63%,Walk
b1,1-0,2,"K. Millar, D. Ortiz, ______",5(2-2) CBBFX,O,BOS,O. Cabrera,J. Johnson,-4%,59%,Flyball: RF (CF-RF)
,,,,,,,,,1 run 2 hits 1 error 2 LOB. Tigers 0 Red Sox 1.,1 run 2 hits 1 error 2 LOB. Tigers 0 Red Sox 1.,1 run 2 hits 1 error 2 LOB. Tigers 0 Red Sox 1.
Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8,Top of the 2nd Tigers Batting Behind 0-1 Red Sox' Bronson Arroyo facing 6-7-8
t2,0-1,0,"______, ______, ______",1(0-0) X,,DET,C. Guillen,B. Arroyo,-6%,53%,Double to RF (Line Drive)
t2,0-1,0,"______, C. Guillen, ______",7(3-2) BBBCCFX,O,DET,C. Pena,B. Arroyo,4%,58%,Fielder's Choice P; C. Guillen out at 3B/P-SS-3B; C. Pena to 2B
t2,0-1,1,"______, C. Pena, ______",1(0-0) X,O,DET,C. Monroe,B. Arroyo,4%,62%,Groundout: SS-1B
t2,0-1,2,"______, C. Pena, ______",2(0-1) CX,O,DET,B. Inge,B. Arroyo,3%,65%,Groundout: 3B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Tigers 0 Red Sox 1.,0 runs 1 hit 0 errors 1 LOB. Tigers 0 Red Sox 1.,0 runs 1 hit 0 errors 1 LOB. Tigers 0 Red Sox 1.
