Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3,Top of the 1st Indians Batting Tied 0-0 Red Sox' Byung-Hyun Kim facing 1-2-3
t1,0-0,0,"______, ______, ______",6(3-2) CBBBCX,,CLE,M. Lawton,B. Kim,5%,55%,Double to CF (Fly Ball)
t1,0-0,0,"______, M. Lawton, ______",4(2-1) BC2BX,O,CLE,O. Vizquel,B. Kim,-4%,51%,Flyball: CF
t1,0-0,1,"______, M. Lawton, ______",7(2-2) 2CF2BFBFX,O,CLE,J. Gerut,B. Kim,-3%,48%,Groundout: 2B-1B; M. Lawton to 3B
t1,0-0,2,"______, ______, M. Lawton",3(1-1) BCX,R,CLE,V. Martinez,B. Kim,9%,57%,Double to LF (Fly Ball); M. Lawton Scores
t1,1-0,2,"______, V. Martinez, ______",2(0-1) FX,RO,CLE,T. Hafner,B. Kim,6%,63%,Single to LF (Fly Ball to LF-CF); V. Martinez Scores; T. Hafner out at 2B/LF-2B
,,,,,,,,,2 runs 3 hits 0 errors 0 LOB. Indians 2 Red Sox 0.,2 runs 3 hits 0 errors 0 LOB. Indians 2 Red Sox 0.,2 runs 3 hits 0 errors 0 LOB. Indians 2 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Indians' Jeff D'Amico facing 1-2-3
b1,0-2,0,"______, ______, ______",2(0-1) CX,,BOS,J. Damon,J. D'Amico,-4%,59%,Single to CF (Ground Ball)
b1,0-2,0,"J. Damon, ______, ______",5(2-2) CFBBX,R,BOS,M. Bellhorn,J. D'Amico,-14%,46%,Triple to LF (Fly Ball to Deep CF); J. Damon Scores
b1,1-2,0,"______, ______, M. Bellhorn",4(1-2) CFBX,R,BOS,D. Ortiz,J. D'Amico,-4%,42%,Single to RF (Fly Ball); M. Bellhorn Scores
b1,2-2,0,"D. Ortiz, ______, ______",4(1-2) BCSC,O,BOS,K. Millar,J. D'Amico,3%,45%,Strikeout Looking
b1,2-2,1,"D. Ortiz, ______, ______",8(3-2) BFFFBFB>X,O,BOS,J. Varitek,J. D'Amico,3%,48%,Flyball: LF (LF-CF)
b1,2-2,2,"D. Ortiz, ______, ______",1(0-0) X,O,BOS,B. Daubach,J. D'Amico,2%,50%,Groundout: 2B-SS/Forceout at 2B
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Indians 2 Red Sox 2.,2 runs 3 hits 0 errors 1 LOB. Indians 2 Red Sox 2.,2 runs 3 hits 0 errors 1 LOB. Indians 2 Red Sox 2.
