Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Dodgers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
t1,0-0,0,"______, ______, ______",4(0-2) CSFX,,LAD,D. Roberts,P. Martinez,-3%,47%,Single to CF (Line Drive)
t1,0-0,0,"D. Roberts, ______, ______",2(0-1) CX,O,LAD,C. Izturis,P. Martinez,2%,49%,Bunt Groundout: P-1B/Sacrifice; D. Roberts to 2B
t1,0-0,1,"______, D. Roberts, ______",2(1-0) BX,RO,LAD,M. Bradley,P. Martinez,-4%,45%,Single to RF (Line Drive); D. Roberts Scores; M. Bradley out at 2B/RF-1B-SS-1B
t1,1-0,2,"______, ______, ______",3(0-2) CCX,,LAD,S. Green,P. Martinez,-1%,44%,Single to LF (Fly Ball to LF-CF)
t1,1-0,2,"S. Green, ______, ______",6(3-2) CBBB1F>S,O,LAD,P. Lo Duca,P. Martinez,2%,46%,Strikeout Swinging
,,,,,,,,,1 run 3 hits 0 errors 1 LOB. Dodgers 1 Red Sox 0.,1 run 3 hits 0 errors 1 LOB. Dodgers 1 Red Sox 0.,1 run 3 hits 0 errors 1 LOB. Dodgers 1 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Dodgers' Hideo Nomo facing 1-2-3
b1,0-1,0,"______, ______, ______",7(3-2) BCCBBFX,,BOS,J. Damon,H. Nomo,4%,50%,Single to RF (Line Drive)
b1,0-1,0,"J. Damon, ______, ______",2(1-0) B>B,,BOS,M. Bellhorn,H. Nomo,2%,52%,J. Damon Steals 2B
