Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Twins Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3
t1,0-0,0,"['', '', '']",5(3-1) BBCBX,,MIN,C. Guzman,D. Lowe,3%,53%,Single to CF (Line Drive)
t1,0-0,0,"['Guzman', '', '']",4(2-1) 1BBCX,,MIN,D. Mientkiewicz,D. Lowe,5%,58%,Single to RF (Ground Ball); Guzman to 2B
t1,0-0,0,"['Mientkiewicz', 'Guzman', '']",2(1-0) BX,,MIN,L. Ford,D. Lowe,6%,65%,Single to 3B/Bunt; Guzman to 3B; Mientkiewicz to 2B
t1,0-0,0,"['Ford', 'Mientkiewicz', 'Guzman']",2(1-0) BX,RO,MIN,C. Koskie,D. Lowe,-1%,64%,Groundout: 2B-SS/Forceout at 2B; Guzman Scores; Mientkiewicz to 3B
t1,1-0,1,"['Koskie', '', 'Mientkiewicz']",2(0-1) SX,RO,MIN,T. Hunter,D. Lowe,1%,65%,Groundout: 2B-SS/Forceout at 2B; Mientkiewicz Scores
t1,2-0,2,"['Hunter', '', '']",2(0-1) 1FB,,MIN,J. Jones,D. Lowe,1%,66%,Wild Pitch; Hunter to 2B
t1,2-0,2,"['', 'Hunter', '']",5(2-2) 1FB.F*BS,O,MIN,J. Jones,D. Lowe,-3%,63%,Strikeout Swinging
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,2 runs 3 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,2 runs 3 hits 0 errors 1 LOB. Twins 2 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 1-2-3
b1,0-2,0,"['', '', '']",2(1-0) BX,O,BOS,J. Damon,C. Silva,2%,65%,Flyball: LF
b1,0-2,1,"['', '', '']",5(2-2) CCBBX,,BOS,M. Bellhorn,C. Silva,-3%,63%,Single to CF (Fly Ball)
b1,0-2,1,"['Bellhorn', '', '']",6(3-2) BFCBB1>X,,BOS,D. Ortiz,C. Silva,-6%,57%,Single to CF (Ground Ball); Bellhorn to 3B
b1,0-2,1,"['Ortiz', '', 'Bellhorn']",1(0-0) X,OO,BOS,M. Ramirez,C. Silva,11%,68%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Twins 2 Red Sox 0.
Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9,Top of the 2nd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 7-8-9
t2,2-0,0,"['', '', '']",6(2-2) CBSFBX,O,MIN,M. LeCroy,D. Lowe,-2%,66%,Groundout: 3B-1B
t2,2-0,1,"['', '', '']",5(2-2) FBFBX,O,MIN,J. Mauer,D. Lowe,-1%,65%,Groundout: 1B unassisted
t2,2-0,2,"['', '', '']",2(0-1) CX,,MIN,L. Rivas,D. Lowe,1%,66%,Single to 2B (Ground Ball)
t2,2-0,2,"['Rivas', '', '']",4(2-1) BFB11X,O,MIN,C. Guzman,D. Lowe,-2%,64%,Groundout: 2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Twins 2 Red Sox 0.
Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7,Bottom of the 2nd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 5-6-7
b2,0-2,0,"['', '', '']",1(0-0) X,O,BOS,N. Garciaparra,C. Silva,3%,66%,Flyball: CF
b2,0-2,1,"['', '', '']",5(1-2) BFCFX,O,BOS,T. Nixon,C. Silva,2%,68%,Flyball: RF (Deep RF)
b2,0-2,2,"['', '', '']",7(3-2) CBBFFBB,,BOS,K. Millar,C. Silva,-1%,67%,Walk
b2,0-2,2,"['Millar', '', '']",3(1-1) BFX,O,BOS,J. Varitek,C. Silva,3%,70%,Groundout: 1B unassisted
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Twins 2 Red Sox 0.
Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4,Top of the 3rd Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 2-3-4
,,,,,,,,,Mark Bellhorn moves from 3B to 2BKevin Youkilis replaces Pokey Reese (2B) playing 3B batting 9th,Mark Bellhorn moves from 3B to 2BKevin Youkilis replaces Pokey Reese (2B) playing 3B batting 9th,Mark Bellhorn moves from 3B to 2BKevin Youkilis replaces Pokey Reese (2B) playing 3B batting 9th
t3,2-0,0,"['', '', '']",3(1-1) ..BCX,O,MIN,D. Mientkiewicz,D. Lowe,-2%,68%,Groundout: 1B unassisted
t3,2-0,1,"['', '', '']",4(1-2) FBSS,O,MIN,L. Ford,D. Lowe,-1%,66%,Strikeout Swinging
t3,2-0,2,"['', '', '']",2(0-1) CX,O,MIN,C. Koskie,D. Lowe,-1%,65%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.
Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2,Bottom of the 3rd Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 9-1-2
b3,0-2,0,"['', '', '']",2(0-1) CX,O,BOS,K. Youkilis,C. Silva,3%,68%,Popfly: 2B (Short RF)
b3,0-2,1,"['', '', '']",5(3-1) BBBCX,O,BOS,J. Damon,C. Silva,2%,70%,Groundout: 1B unassisted
b3,0-2,2,"['', '', '']",4(2-1) CBBX,O,BOS,M. Bellhorn,C. Silva,1%,71%,Popfly: 3B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.
Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7,Top of the 4th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 5-6-7
t4,2-0,0,"['', '', '']",3(1-1) BFX,O,MIN,T. Hunter,D. Lowe,-2%,69%,Groundout: SS-1B
t4,2-0,1,"['', '', '']",6(3-2) BBTFBS,O,MIN,J. Jones,D. Lowe,-2%,68%,Strikeout Swinging
t4,2-0,2,"['', '', '']",4(1-2) CFBS,O,MIN,M. LeCroy,D. Lowe,-1%,67%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Red Sox 0.
Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5,Bottom of the 4th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 3-4-5
b4,0-2,0,"['', '', '']",6(3-2) CFBBBB,,BOS,D. Ortiz,C. Silva,-5%,62%,Walk
b4,0-2,0,"['Ortiz', '', '']",4(1-2) CSBX,O,BOS,M. Ramirez,C. Silva,4%,66%,Flyball: CF
b4,0-2,1,"['Ortiz', '', '']",2(1-0) BX,O,BOS,N. Garciaparra,C. Silva,4%,70%,Groundout: 3B-2B/Forceout at 2B
b4,0-2,2,"['Garciaparra', '', '']",4(1-2) CBFX,O,BOS,T. Nixon,C. Silva,3%,73%,Groundout: SS-2B/Forceout at 2B
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Twins 2 Red Sox 0.
Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1,Top of the 5th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 8-9-1
t5,2-0,0,"['', '', '']",3(1-1) BFX,,MIN,J. Mauer,D. Lowe,3%,76%,Single to CF (Ground Ball)
t5,2-0,0,"['Mauer', '', '']",5(0-2) CFFFX,O,MIN,L. Rivas,D. Lowe,-3%,73%,Groundout: 3B-2B/Forceout at 2B
t5,2-0,1,"['Rivas', '', '']",2(1-0) 11B>S,,MIN,C. Guzman,D. Lowe,1%,75%,Rivas Steals 2B
t5,2-0,1,"['', 'Rivas', '']",5(2-2) 11B>S.FBS,O,MIN,C. Guzman,D. Lowe,-3%,72%,Strikeout Swinging
t5,2-0,2,"['', 'Rivas', '']",7(3-2) CBC*BFB2B,,MIN,D. Mientkiewicz,D. Lowe,1%,72%,Walk
t5,2-0,2,"['Mientkiewicz', 'Rivas', '']",5(1-2) BF.FFS,O,MIN,L. Ford,D. Lowe,-4%,69%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Twins 2 Red Sox 0.,0 runs 1 hit 0 errors 2 LOB. Twins 2 Red Sox 0.,0 runs 1 hit 0 errors 2 LOB. Twins 2 Red Sox 0.
Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9,Bottom of the 5th Red Sox Batting Behind 0-2 Twins' Carlos Silva facing 7-8-9
b5,0-2,0,"['', '', '']",3(1-1) CBX,,BOS,K. Millar,C. Silva,-5%,63%,Single to LF (Ground Ball)
b5,0-2,0,"['Millar', '', '']",5(2-2) >FFBBS,O,BOS,J. Varitek,C. Silva,5%,68%,Strikeout Swinging
b5,0-2,1,"['Millar', '', '']",4(1-2) BCFX,,BOS,K. Youkilis,C. Silva,-5%,63%,Single to CF (Line Drive); Millar to 2B
b5,0-2,1,"['Youkilis', 'Millar', '']",4(2-1) CB*BX,OO,BOS,J. Damon,C. Silva,13%,76%,Ground Ball Double Play: 2B-SS-1B
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Twins 2 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Twins 2 Red Sox 0.
Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6,Top of the 6th Twins Batting Ahead 2-0 Red Sox' Derek Lowe facing 4-5-6
t6,2-0,0,"['', '', '']",4(1-2) FBCX,,MIN,C. Koskie,D. Lowe,5%,81%,Double to CF (Fly Ball)
t6,2-0,0,"['', 'Koskie', '']",1(0-0) X,RR,MIN,T. Hunter,D. Lowe,9%,90%,Home Run (Fly Ball); Koskie Scores
t6,4-0,0,"['', '', '']",4(0-2) CFFX,O,MIN,J. Jones,D. Lowe,-1%,89%,Groundout: 2B-1B
