Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
t1,0-0,0,"______, ______, ______",5(2-2) BCBFS,O,OAK,M. Kotsay,T. Wakefield,2%,52%,Strikeout Swinging (C-1B)
t1,0-0,1,"______, ______, ______",4(1-2) CBFX,O,OAK,M. McLemore,T. Wakefield,2%,54%,Groundout: 1B unassisted
t1,0-0,2,"______, ______, ______",2(0-1) CX,O,OAK,S. Hatteberg,T. Wakefield,1%,55%,Popfly: C (Front of Home)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Athletics 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Athletics 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Athletics 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Athletics' Barry Zito facing 1-2-3
b1,0-0,0,"______, ______, ______",4(1-2) CCBX,,BOS,J. Damon,B. Zito,3%,58%,Single to CF (Ground Ball)
b1,0-0,0,"J. Damon, ______, ______",4(1-2) SBFX,O,BOS,M. Bellhorn,B. Zito,-3%,55%,Flyball: CF
b1,0-0,1,"J. Damon, ______, ______",3(0-2) FCX,O,BOS,D. Ortiz,B. Zito,-2%,53%,Groundout: 2B-1B; J. Damon to 2B
b1,0-0,2,"______, J. Damon, ______",6(3-2) BCBSBB,,BOS,M. Ramirez,B. Zito,1%,54%,Walk
b1,0-0,2,"M. Ramirez, J. Damon, ______",6(2-2) BSC*BFS,O,BOS,N. Garciaparra,B. Zito,-4%,50%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Athletics 0 Red Sox 0.,0 runs 1 hit 0 errors 2 LOB. Athletics 0 Red Sox 0.,0 runs 1 hit 0 errors 2 LOB. Athletics 0 Red Sox 0.
Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6,Top of the 2nd Athletics Batting Tied 0-0 Red Sox' Tim Wakefield facing 4-5-6
t2,0-0,0,"______, ______, ______",5(2-2) BBCFX,O,OAK,J. Dye,T. Wakefield,2%,52%,Flyball: RF
t2,0-0,1,"______, ______, ______",4(0-2) CFFS,O,OAK,E. Durazo,T. Wakefield,2%,54%,Strikeout Swinging
t2,0-0,2,"______, ______, ______",3(0-2) CCX,O,OAK,B. Crosby,T. Wakefield,1%,55%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Athletics 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Athletics 0 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Athletics 0 Red Sox 0.
