Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3,Top of the 1st Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 1-2-3
t1,0-0,0,"______, ______, ______",2(1-0) BX,O,PHI,J. Rollins,B. Arroyo,-2%,48%,Flyball: RF (Deep RF)
t1,0-0,1,"______, ______, ______",3(1-1) CBX,O,PHI,P. Polanco,B. Arroyo,-2%,46%,Groundout: SS-1B
t1,0-0,2,"______, ______, ______",7(3-2) CSBBFBB,,PHI,B. Abreu,B. Arroyo,1%,47%,Walk
t1,0-0,2,"B. Abreu, ______, ______",6(2-2) FBB1FFX,O,PHI,J. Thome,B. Arroyo,-2%,45%,Popfly: 2B (Short RF Line)
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Phillies 0 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Phillies 0 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Phillies 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Phillies' Randy Wolf facing 1-2-3
b1,0-0,0,"______, ______, ______",5(2-2) CBBFS,O,BOS,J. Damon,R. Wolf,2%,47%,Strikeout Swinging
b1,0-0,1,"______, ______, ______",4(2-1) BCBX,O,BOS,M. Bellhorn,R. Wolf,2%,49%,Groundout: 3B-1B
b1,0-0,2,"______, ______, ______",4(2-1) FBBX,,BOS,D. Ortiz,R. Wolf,-1%,48%,Single to 3B (Ground Ball)
b1,0-0,2,"D. Ortiz, ______, ______",3(0-2) CFX,O,BOS,M. Ramirez,R. Wolf,2%,50%,Single to LF (Ground Ball); D. Ortiz to 3B; M. Ramirez out at 2B/LF-2B
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Phillies 0 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Phillies 0 Red Sox 0.,0 runs 2 hits 0 errors 1 LOB. Phillies 0 Red Sox 0.
Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7,Top of the 2nd Phillies Batting Tied 0-0 Red Sox' Bronson Arroyo facing 5-6-7
t2,0-0,0,"______, ______, ______",1(0-0) X,O,PHI,P. Burrell,B. Arroyo,-2%,48%,Popfly: SS
t2,0-0,1,"______, ______, ______",1(0-0) X,,PHI,C. Utley,B. Arroyo,3%,50%,Single to CF (Fly Ball)
t2,0-0,1,"C. Utley, ______, ______",5(2-2) CBSBS,O,PHI,D. Bell,B. Arroyo,-3%,47%,Strikeout Swinging
t2,0-0,2,"C. Utley, ______, ______",5(2-2) B1CSBX,,PHI,J. Michaels,B. Arroyo,2%,49%,Single to LF (Line Drive); C. Utley to 2B
t2,0-0,2,"J. Michaels, C. Utley, ______",2(0-1) CX,RR,PHI,T. Pratt,B. Arroyo,18%,67%,Single to CF (Line Drive); C. Utley Scores; J. Michaels Scores/No RBI/unER/Adv on E8 (throw); T. Pratt to 2B
t2,2-0,2,"______, T. Pratt, ______",7(3-2) BBFBFFB,,PHI,J. Rollins,B. Arroyo,1%,67%,Walk
t2,2-0,2,"J. Rollins, T. Pratt, ______",3(0-2) CFX,O,PHI,P. Polanco,B. Arroyo,-4%,64%,Flyball: CF
,,,,,,,,,2 runs 3 hits 1 error 2 LOB. Phillies 2 Red Sox 0.,2 runs 3 hits 1 error 2 LOB. Phillies 2 Red Sox 0.,2 runs 3 hits 1 error 2 LOB. Phillies 2 Red Sox 0.
