Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3,Top of the 1st Padres Batting Tied 0-0 Red Sox' Curt Schilling facing 1-2-3
t1,0-0,0,"['', '', '']",2(0-1) CX,,SDP,S. Burroughs,C. Schilling,-5%,45%,Double to RF (Line Drive)
t1,0-0,0,"['', 'Burroughs', '']",1(0-0) X,O,SDP,M. Loretta,C. Schilling,2%,46%,Groundout: 1B-P; Burroughs to 3B
t1,0-0,1,"['', '', 'Burroughs']",6(3-2) BBFCBX,RO,SDP,B. Giles,C. Schilling,-1%,45%,Groundout: 1B-P; Burroughs Scores
t1,1-0,2,"['', '', '']",6(3-2) FBBFBB,,SDP,P. Nevin,C. Schilling,-1%,44%,Walk
t1,1-0,2,"['Nevin', '', '']",3(0-2) SCS,O,SDP,J. Payton,C. Schilling,2%,46%,Strikeout Swinging
,,,,,,,,,1 run 1 hit 0 errors 1 LOB. Padres 1 Red Sox 0.,1 run 1 hit 0 errors 1 LOB. Padres 1 Red Sox 0.,1 run 1 hit 0 errors 1 LOB. Padres 1 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-1 Padres' Ismael Valdez facing 1-2-3
b1,0-1,0,"['', '', '']",6(3-2) BBFBCX,O,BOS,J. Damon,I. Valdez,-2%,44%,Flyball: RF (Deep RF)
b1,0-1,1,"['', '', '']",4(1-2) CFBC,O,BOS,K. Youkilis,I. Valdez,-2%,42%,Strikeout Looking
b1,0-1,2,"['', '', '']",4(1-2) BFFX,,BOS,D. Ortiz,I. Valdez,1%,43%,Single to RF (Line Drive to CF-RF)
b1,0-1,2,"['Ortiz', '', '']",5(1-2) CCFBS,O,BOS,M. Ramirez,I. Valdez,-2%,41%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Padres 1 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Padres 1 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Padres 1 Red Sox 0.
Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8,Top of the 2nd Padres Batting Ahead 1-0 Red Sox' Curt Schilling facing 6-7-8
t2,1-0,0,"['', '', '']",4(1-2) CBSS,O,SDP,T. Long,C. Schilling,2%,43%,Strikeout Swinging
t2,1-0,1,"['', '', '']",2(0-1) CX,O,SDP,M. Ojeda,C. Schilling,2%,44%,Groundout: 3B-1B
t2,1-0,2,"['', '', '']",3(0-2) FCS,O,SDP,J. Cirillo,C. Schilling,1%,46%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Padres 1 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Padres 1 Red Sox 0.,0 runs 0 hits 0 errors 0 LOB. Padres 1 Red Sox 0.
