Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3,Top of the 1st Mariners Batting Tied 0-0 Red Sox' Tim Wakefield facing 1-2-3
t1,0-0,0,"______, ______, ______",4(0-2) CFFX,O,SEA,I. Suzuki,T. Wakefield,-2%,48%,Groundout: 2B-1B
t1,0-0,1,"______, ______, ______",4(2-1) CBBX,,SEA,R. Winn,T. Wakefield,4%,51%,Double to 2B (Pop Fly)
t1,0-0,1,"______, R. Winn, ______",2(0-1) FX,O,SEA,S. Spiezio,T. Wakefield,-3%,48%,Groundout: 2B-1B; R. Winn to 3B
t1,0-0,2,"______, ______, R. Winn",3(0-2) SFX,O,SEA,R. Ibanez,T. Wakefield,-4%,45%,Groundout: SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Mariners 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Mariners 0 Red Sox 0.,0 runs 1 hit 0 errors 1 LOB. Mariners 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Mariners' Freddy Garcia facing 1-2-3
b1,0-0,0,"______, ______, ______",3(0-2) CCS,O,BOS,J. Damon,F. Garcia,2%,47%,Strikeout Swinging
b1,0-0,1,"______, ______, ______",3(1-1) SBX,O,BOS,M. Bellhorn,F. Garcia,2%,49%,Flyball: LF
b1,0-0,2,"______, ______, ______",2(1-0) BX,O,BOS,D. Ortiz,F. Garcia,1%,50%,Popfly: SS (Short CF)
