Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3,Top of the 1st Devil Rays Batting Tied 0-0 Red Sox' Derek Lowe facing 1-2-3
t1,0-0,0,"['', '', '']",1(0-0) X,,TBD,C. Crawford,D. Lowe,-5%,45%,Double to LF (Fly Ball)
t1,0-0,0,"['', 'Crawford', '']",2(0-1) CX,,TBD,J. Lugo,D. Lowe,-6%,39%,Reached on E1/Sacrifice Bunt (Bunt to Front of Home); Crawford to 3B
t1,0-0,0,"['Lugo', '', 'Crawford']",6(2-2) SB1FFBX,O,TBD,A. Huff,D. Lowe,3%,42%,Groundout: P-1B (Front of Home); Lugo to 2B
t1,0-0,1,"['', 'Lugo', 'Crawford']",2(0-1) CX,RO,TBD,R. Baldelli,D. Lowe,0%,43%,Groundout: 2B-1B; Crawford Scores/unER; Lugo to 3B
t1,1-0,2,"['', '', 'Lugo']",1(0-0) X,R,TBD,R. Fick,D. Lowe,-8%,34%,Double to RF (Line Drive to Deep RF); Lugo Scores/unER
t1,2-0,2,"['', 'Fick', '']",4(2-1) FBBX,O,TBD,J. Cruz,D. Lowe,3%,37%,Groundout: 2B-1B
,,,,,,,,,2 runs 2 hits 1 error 1 LOB. Devil Rays 2 Red Sox 0.,2 runs 2 hits 1 error 1 LOB. Devil Rays 2 Red Sox 0.,2 runs 2 hits 1 error 1 LOB. Devil Rays 2 Red Sox 0.
Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3,Bottom of the 1st Red Sox Batting Behind 0-2 Devil Rays' Damian Moss facing 1-2-3
b1,0-2,0,"['', '', '']",7(3-2) CBBFFBB,,BOS,J. Damon,D. Moss,4%,41%,Walk
