Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3,Top of the 1st Rangers Batting Tied 0-0 Red Sox' Pedro Martinez facing 1-2-3
t1,0-0,0,"______, ______, ______",1(0-0) X,O,TEX,D. Dellucci,P. Martinez,2%,52%,Popfly: SS
t1,0-0,1,"______, ______, ______",3(0-2) CCS,O,TEX,M. Young,P. Martinez,2%,54%,Strikeout Swinging
t1,0-0,2,"______, ______, ______",7(3-2) BBCBFFB,,TEX,H. Blalock,P. Martinez,-1%,53%,Walk
t1,0-0,2,"H. Blalock, ______, ______",3(0-2) CFT,O,TEX,M. Teixeira,P. Martinez,2%,55%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Rangers 0 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Rangers 0 Red Sox 0.,0 runs 0 hits 0 errors 1 LOB. Rangers 0 Red Sox 0.
Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3,Bottom of the 1st Red Sox Batting Tied 0-0 Rangers' John Wasdin facing 1-2-3
b1,0-0,0,"______, ______, ______",4(1-2) BCFX,O,BOS,D. Roberts,J. Wasdin,-2%,53%,Groundout: 2B-1B
b1,0-0,1,"______, ______, ______",7(3-2) CBFBBFS,O,BOS,M. Bellhorn,J. Wasdin,-2%,51%,Strikeout Swinging
b1,0-0,2,"______, ______, ______",1(0-0) X,R,BOS,M. Ramirez,J. Wasdin,9%,60%,Home Run (Fly Ball)
